"titles","word_matches","cat_matches","cat_matches_list","optim"
"Removal of nitrate and COD from wastewater using Denitrification process: Kinetic, optimization, and statistical studies",2,1,"waste",1
"Energy consumption model and optimization for disk roller crusher",2,1,"energy",1
"ASI: Toward the optimal integrated production of biodiesel with internal recycling of methanol produced from glycerol",3,2,"energy, waste",1
"Optimal design of CHP-based microgrids: Multiobjective optimisation and life cycle assessment",4,1,"energy",1
"Optimal design of integrated agricultural water networks",4,2,"other, water",1
"Optimal strategies for carbon capture, utilization and storage based on an inexact mλ-measure fuzzy chance-constrained programming",1,1,"waste",1
"Optimization of supercritical water oxidation for landfill leachate treatment by response surface methodology (RSM)",5,3,"various, waste, water",1
"Phosphate removal in a fluidized bed - II Process optimization",1,0,"",1
"Optimization of a photo-assisted Fenton oxidation process: A statistical model for MDF effluent treatment",3,2,"various, waste",1
"Optimal spatial decision of cropland bio-energy intensive application",1,1,"energy",1
"Optimal integration of organic Rankine cycles with industrial processes",1,1,"various",1
"On the nature of the heat transfer feasibility constraint in the optimal synthesis/design of complex energy systems",3,1,"energy",1
"Optimization and modeling of reduction of wastewater sludge water content and turbidity removal using magnetic iron oxide nanoparticles (MION)",6,3,"other, waste, water",1
"Recent cleaner production advances in process monitoring and optimisation",1,0,"",1
"Optimisation of petroleum refinery water network systems retrofit incorporating reuse, regeneration and recycle strategies",4,2,"waste, water",1
"Optimal planning of co-firing alternative fuels with coal in a power plant by grey nonlinear mixed integer programming model",3,1,"energy",1
"Maximising municipal solid waste - Legume trimming residue mixture degradation in composting by control parameters optimization",5,1,"waste",1
"Optimization of integrated CCHP and solar plants following a multi-objective approach. An application to the household sector",3,1,"energy",1
"Optimization on national energy consumption distribution under total amount control of pollutants",3,2,"energy, waste",1
"Optimization of biodiesel production from the waste cooking oil using response surface methodology",4,2,"energy, waste",1
"Optimization of the preparation process of biological sludge adsorbents for application in water treatment",4,3,"various, waste, water",1
"Exergy analysis and optimisation of a marine molten carbonate fuel cell system in simple and combined cycle configuration",3,1,"energy",1
"Hybrid inexact optimization approach with data envelopment analysis for environment management and planning in the city of Beijing, China",1,0,"",1
"Fluid dynamic analysis of a continuous stirred tank reactor for technical optimization of wastewater digestion",3,2,"various, waste",1
"Strategic planning optimization for natural gas to liquid transportation fuel (GTL) systems",3,1,"energy",1
"Leaching zinc from spent catalyst: Process optimization using response surface methodology",2,1,"other",1
"Optimization of the electro-Fenton and solar photoelectro-Fenton treatments of sulfanilic acid solutions using a pre-pilot flow plant by response surface methodology",2,1,"energy",1
"Development of an inexact risk-aversion optimization model for regional carbon constrained electricity system planning under uncertainty",3,2,"energy, waste",1
"Selecting Portfolios of Water Supply and Demand Management Strategies Under Uncertainty-Contrasting Economic Optimisation and 'Robust Decision Making' Approaches",2,1,"water",1
"Optimization of spent nuclear fuel filling in canisters for deep repository",3,1,"energy",1
"Development of an integrated optimization method for analyzing effect of energy conversion efficiency under uncertainty - A case study of Bayingolin Mongol Autonomous Prefecture, China",2,1,"energy",1
"Kinetic model and optimization of 2,4-D degradation by Anodic Fenton treatment",2,1,"various",1
"Optimization of critical factors to enhance polyhydroxyalkanoates (PHA) synthesis by mixed culture using Taguchi design of experimental methodology",2,0,"",1
"Optimal design activated sludge process by means of multi-objective optimization: Case study in Benchmark Simulation Model 1 (BSM1)",4,1,"waste",1
"Optimization of the HVAC system design to minimize primary energy demand",4,1,"energy",1
"Optimal design of thermal membrane distillation systems with heat integration with process plants",3,1,"energy",1
"Multi-objective optimisation for generating sustainable solutions considering total effects on the environment",1,0,"",1
"Cost-based design of wastewater network optimal topology",3,1,"waste",1
"Model for geometry optimisation of thermoelectric devices in a hybrid PV/TE system",1,0,"",1
"Operation optimization of existing district heating systems",2,1,"energy",1
"ANN-GA based optimization of a high ash coal-fired supercritical power plant",4,2,"energy, waste",1
"Optimization of the adsorption of phosphorus by water plant sludge using response surface methodology",3,2,"waste, water",1
"Optimal synthesis and design of Heat Recovery Steam Generation (HRSG) via mathematical programming",4,2,"energy, various",1
"Optimization of roselle drying time and drying quality",2,1,"energy",1
"An integrated prediction and optimization model of biogas production system at a wastewater treatment facility",4,3,"energy, various, waste",1
"Cost optimization of a cogeneration plant operation | Optimiranje pogonskog režima kogeneracijskog postrojenja po kriteriju troška",2,1,"energy",1
"Thermal performance optimization of hollow clay bricks made up of paper waste",4,3,"energy, other, waste",1
"Optimization of hydrogen production from supercritical water gasification of crude glycerol-byproduct of biodiesel production",6,3,"energy, various, water",1
"Energy and exergy analysis and optimization of Kalina cycle coupled with a coal fired steam power plant",6,1,"energy",1
"Global optimization of wastewater integration networks for processes with multiple contaminants",3,1,"waste",1
"Sequential modelling of thermal energy: New potential for energy optimisation in papermaking",4,1,"energy",1
"Biomass power plant site selection modeling and decision optimization",4,2,"energy, various",1
"A Robust Inexact Joint-optimal α cut Interval Type-2 Fuzzy Boundary Linear Programming (RIJ-IT2FBLP) for energy systems planning under uncertainty",1,1,"energy",1
"Optimization of bio-oil yields by demineralization of low quality biomass",3,2,"energy, various",1
"Multi-objective optimization of absorption refrigeration systems involving renewable energy",4,1,"energy",1
"Thermodynamic optimization of solid oxide fuel cell-based combined cycle cogeneration plant",3,1,"energy",1
"Optimisation of regional energy supply chains utilising renewables: P-graph approach",2,1,"energy",1
"An inexact robust nonlinear optimization method for energy systems planning under uncertainty",2,1,"energy",1
"An entropy generation and genetic algorithm optimization of two-bed adsorption cooling cycle",2,1,"energy",1
"Optimal model for multivariate water supply system under uncertainty",1,1,"water",1
"Optimal operation strategy of the hybrid heating system composed of centrifugal heat pumps and gas boilers",3,1,"energy",1
"Thermo-economic optimization of a Solid Oxide Fuel Cell - Gas turbine system fuelled with gasified lignocellulosic biomass",5,2,"energy, various",1
"Thermodynamic analysis and optimization of a flash-binary geothermal power generation system",3,1,"energy",1
"Removal of acid orange 7 by guava seed carbon: A four parameter optimization study",3,2,"other, waste",1
"Energy performance optimization of radiant slab cooling using building simulation and field measurements",4,1,"energy",1
"Optimisation model for integration of cooling and heating systems in large industrial plants",3,1,"energy",1
"Optimization of the performance of Chitosan for the nickel removal from wastewater",3,2,"other, waste",1
"Solar radiation disinfection of drinking water at temperate latitudes: Inactivation rates for an optimised reactor configuration",2,2,"energy, water",1
"Strategy for optimal operation of a biomass-fired cogeneration power plant",3,2,"energy, various",1
"Optimization of frequency on ultrasonic disintegration of waste activated sludge",3,1,"waste",1
"Modeling and optimization of energy-efficient procedures for removing lead(II) and zinc(II) ions from aqueous solutions using the central composite design",6,2,"energy, other",1
"Techno-economical optimization of Reactive Blue 19 removal by combined electrocoagulation/coagulation process through MOPSO using RSM and ANFIS models",2,0,"",1
"Energy configuration and operation optimization of refinery fuel gas networks",5,1,"energy",1
"Optimization of Combustion Performance of Bioethanol (Water Hyacinth) Diesel Blends on Diesel Engine Using Response Surface Methodology",6,2,"energy, water",1
"A new approach for optimization of combined heat and power generation in edible oil plants",4,1,"energy",1
"A stepwise-inference-based optimization system for supporting remediation of petroleum-contaminated sites",1,0,"",1
"Optimal Design of Detention Rockfill Dams Using a Simulation-Based Optimization Approach with Mixed Sediment in the Flow",3,0,"",1
"A pseudo-optimal inexact stochastic interval T2 fuzzy sets approach for energy and environmental systems planning under uncertainty: A case study for Xiamen City of China",1,1,"energy",1
"A robust inexact Type-2 Fuzzy Sets Linear Optimization Programming for irrigation water system management under uncertainty",3,1,"water",1
"Defining optimal configurations of geothermal systems using process design and process integration techniques",2,1,"energy",1
"Optimization of electrocoagulation process for the treatment of metal cutting wastewaters with response surface methodology",4,3,"other, various, waste",1
"Identifying the microbial communities and operational conditions for optimized wastewater treatment in microbial fuel cells",3,3,"energy, various, waste",1
"Disinfection optimization by a better control of ozonation process",1,0,"",1
"Optimised photocatalytic degradation of a mixture of azo dyes using a TiO 2/H 2O 2/UV process",1,1,"other",1
"Biomass-to-bioenergy and biofuel supply chain optimization: Overview, key issues and challenges",4,2,"energy, various",1
"Multi-objective optimization for free-phase LNAPL recovery using evolutionary computation algorithms",2,1,"various",1
"Simulation-based process optimization for surfactant-enhanced aquifer remediation at heterogeneous DNAPL-contaminated sites",2,0,"",1
"Optimization for cogeneration systems in buildings based on life cycle assessment",2,1,"energy",1
"Cost optimization of DNAPL source and plume remediation under uncertainty using a semi-analytic model",1,0,"",1
"Optimal molecular design of working fluids for sustainable low-temperature energy recovery",3,2,"energy, various",1
"Optimization for design problems having more than one objective",2,0,"",1
"An integrated simulation and optimization modeling approach for environmental planning in new urban areas",3,0,"",1
"Energetic optimization of wet air oxidation process using experimental design coupled with process simulation",3,0,"",1
"Process integration and optimization of a solid oxide fuel cell - Gas turbine hybrid cycle fueled with hydrothermally gasified waste biomass",6,3,"energy, various, waste",1
"Groundwater optimization model for sustainable management of the Valley of Puebla aquifer, Mexico",2,1,"water",1
"Optimal design and control of solar driven air gap membrane distillation desalination systems",3,2,"energy, water",1
"Fluids and parameters optimization for the organic Rankine cycles (ORCs) used in exhaust heat recovery of Internal Combustion Engine (ICE)",6,2,"energy, various",1
"Many-objective optimization and visual analytics reveal key trade-offs for London's water supply",2,1,"water",1
"Identification of optimal strategies for energy management systems planning under multiple uncertainties",1,1,"energy",1
"Managing the environmental problem of seawater intrusion in coastal aquifers through simulation-optimization modeling",4,1,"water",1
"Optimization of production conditions for activated carbons from Tamarind wood by zinc chloride using response surface methodology",3,1,"other",1
"Weight and power optimization of steam bottoming cycle for offshore oil and gas installations",5,1,"energy",1
"Energy optimization in a pulp and paper mill cogeneration facility",4,2,"energy, other",1
"Parameter analysis and optimal design for two-stage thermoelectric cooler",1,0,"",1
"Response surface modeling and optimization of chromium(VI) removal from aqueous solution using Tamarind wood activated carbon in batch process",5,2,"other, waste",1
"Biomass-to-electricity: Analysis and optimization of the complete pathway steam explosion - enzymatic hydrolysis - anaerobic digestion with ICE vs SOFC as biogas users",7,2,"energy, various",1
"Optimisation of reactive dye removal by sequential electrocoagulation- flocculation method: Comparing ANN and RSM prediction",1,0,"",1
"Enzymatic hydrolysis and fermentation of seaweed solid wastes for bioethanol production: An optimization study",6,4,"energy, other, various, waste",1
"Integrated modeling for optimal municipal solid waste management strategies under uncertainty",3,1,"waste",1
"Simulation-optimization model for water management in hydraulic fracturing operations | Modèle de simulation et d’optimisation de la gestion de l’eau dans les opérations de fracturation hydraulique | Modelo simulação-otimização para gestão da água em operações de fraturamento hidráulico | Modelo de simulación y optimización para la gestión del agua en operaciones de fracturación hidráulica",4,1,"water",1
"Anaerobic digestion of slaughterhouse solid waste for the optimization of biogas production",4,3,"energy, various, waste",1
"Optimization of performance of Combined Solar Collector-Geothermal Heat Pump Systems to supply thermal load needed for heating greenhouses",6,1,"energy",1
"Trade-off between water pollution prevention, agriculture profit, and farmer practice—an optimization methodology for discussion on land-use adjustment in China",4,3,"other, waste, water",1
"Optimization of parameters using response surface methodology and genetic algorithm for biological denitrification of wastewater",2,1,"waste",1
"Optimization of biogas production from olive-oil mill wastewater, by codigesting with diluted poultry-manure",7,4,"energy, other, various, waste",1
"Optimization of an absorption heat transformer with two-duplex components using inverse neural network and solved by genetic algorithm",3,1,"energy",1
"Optimization of recovery boiler plant air systems by new design method and process integration",4,2,"energy, various",1
"Optimisation of a Swedish district heating system with reduced heat demand due to energy efficiency measures in residential buildings",4,1,"energy",1
"Optimization of the parameters for decolourization by Aspergillus niger of anaerobically digested distillery spentwash pretreated with polyaluminium chloride",1,0,"",1
"Optimization of process topology using pinch analysis",1,0,"",1
"A passive design strategy for a horizontal ground source heat pump pipe operation optimization with a non-homogeneous soil profile",3,1,"energy",1
"Simulation-based optimization of dual-phase vacuum extraction to remove nonaqueous phase liquids in subsurface",2,0,"",1
"Optimization of preparation conditions of activated carbon from agriculture waste utilizing factorial design",5,2,"other, waste",1
"To connect or not to connect? Modelling the optimal degree of centralisation for wastewater infrastructures",2,1,"waste",1
"Design method for the optimization of district heating systems using mixed integer linear programming",3,1,"energy",1
"Optimization of naproxen and ibuprofen removal in photolysis using a Box-Behnken design: Effect of Fe(III), NO 3-, and humic acid",2,0,"",1
"Parameters optimization and theoretical model of heat-mass transfer in a spray heat exchanger attaching to a main fan diffuser",2,1,"energy",1
"Electrocoagulation of tannery wastewater using monopolar electrodes: Process optimization by response surface methodology",2,1,"waste",1
"Application of Central Composite Design approach for removal of chromium (VI) from aqueous solution using weakly anionic resin: Modeling, optimization, and study of interactive variables",4,1,"other",1
"Optimization of regional economic and environmental systems under fuzzy and random uncertainties",1,0,"",1
"Optimisation and significance of ATP analysis for measuring active biomass in granular activated carbon filters used in water treatment",5,3,"various, waste, water",1
"Bi-level fuzzy optimization approach for water exchange in eco-industrial parks",2,1,"water",1
"Thermal optimization of combined heat and power (CHP) systems using nanofluids",5,1,"energy",1
"Defining a quantitative framework for evaluation and optimisation of the environmental impacts of mega-event projects",1,0,"",1
"A simultaneous optimization approach for the design of wastewater and heat exchange networks based on cost estimation",5,2,"energy, waste",1
"Adaptation of urine source separation in tropical cities: Process optimization and odor mitigation",2,1,"waste",1
"Mixed matrix membrane application for olive oil wastewater treatment: Process optimization based on Taguchi design method",6,4,"energy, other, various, waste",1
"The use of nonlinear programming to optimal water allocation",1,1,"water",1
"Experimental optimization of activated carbon synthesis by the simplex search method",2,1,"waste",1
"Numerical optimisation of excess air with respect to fibre-to-shell ratio during incineration process",2,1,"various",1
"Genetic optimization of steam multi-turbines system",2,1,"energy",1
"Superstructure-free synthesis and optimization of thermal power plants",3,1,"energy",1
"Optimization of biological elimination of ammonia and chemical oxygen demand from wastewater using response surface methodology",2,1,"waste",1
"Modeling and Optimization of Biohydrogen Production from De-oiled Jatropha Using the Response Surface Method",3,1,"energy",1
"Optimization of electro-oxidation process for the treatment of Reactive Orange 107 using response surface methodology",2,1,"various",1
"Optimization of plant coverage in relation to water balance in the Loess Plateau of China",2,1,"water",1
"4E analysis and multi-objective optimization of an integrated MCFC (molten carbonate fuel cell) and ORC (organic Rankine cycle) system",3,2,"energy, various",1
"Analysis and optimization of the low-temperature solar organic Rankine cycle (ORC)",3,2,"energy, various",1
"Optimization of process factors for the efficient generation of biogas from raw vegetable wastes under the direct influence of plastic materials using Taguchi methodology",6,3,"energy, other, waste",1
"A computationally efficient approach for watershed scale spatial optimization",1,0,"",1
"Optimal integration of gaseous emissions from new industrial plants with the surroundings",2,1,"waste",1
"Optimal production of renewable hydrogen based on an efficient energy management strategy",3,1,"energy",1
"Optimization models for Beijing's generation expansion planning under uncertainties",2,0,"",1
"Multi-objective optimal layout of distributed storm-water detention",1,1,"water",1
"Interval-based air quality index optimization model for regional environmental management under uncertainty",1,0,"",1
"Operating point optimization of a hydrogen fueled hybrid solid oxide fuel cell-steam turbine (SOFC-ST) plant",5,1,"energy",1
"Research on a carbon reduction optimization model for a megalopolis based on land-use planning and ICCLP method",2,1,"waste",1
"A 1kWe thermoelectric stack for geothermal power generation - Modeling and geometrical optimization",4,1,"energy",1
"Optimization of water reuse network using water pinch method in duplex board mill",3,1,"water",1
"Optimisation of decolourisation and degradation of Reactive Black 5 dye under electro-Fenton process using Fe alginate gel beads",1,0,"",1
"Entropy parameters for falling film absorber optimization",1,0,"",1
"Modeling and optimization of biogas production from rice mill effluent using up flow anaerobic sludge blanket reactor",6,3,"energy, other, waste",1
"Optimization Study: Biological Removal of Inorganic Nitrogen along with Chemical Oxygen Demand from Wastewater Using Response Surface Methodology",2,1,"waste",1
"Finding best practices for automotive glazing recycling: A network optimization model",3,1,"waste",1
"Theoretical analysis and optimization of a double-effect series-flow-type absorption chiller",1,0,"",1
"Environmental biological model based on optimization of activated sludge process",2,1,"waste",1
"The effect of wind on the optimal design and performance of a modular air-cooled condenser for a concentrated solar power plant",5,1,"energy",1
"Multi-objective optimization of methane producing UASB reactor using a combined pareto multi–objective differential evolution algorithm (CPMDE)",2,1,"various",1
"Electrochemical oxidation of low phenol concentration on boron doped diamond anodes: optimization via response surface methodology",1,0,"",1
"Seeking optimal groundwater pumping strategies at Pinggu District in Beijing, China",1,1,"water",1
"Fuzzy constrained optimization of eco-friendly reservoir operation using self-adaptive genetic algorithm: A case study of a cascade reservoir system in the Yalong River, China",1,0,"",1
"Parametric analysis and optimization of regenerative Clausius and organic Rankine cycles with two feedwater heaters using artificial bees colony and artificial neural network",3,1,"various",1
"Optimal orientation of a liquid-film solar-assisted brine concentrator",1,1,"energy",1
"A stochastic optimization approach for paper recycling reverse logistics network design under uncertainty",5,2,"other, waste",1
"Analysis and optimization control of the continuous step feed biological nitrogen and phosphate removal process",2,1,"other",1
"Optimal process design for the polygeneration of SNG, power and heat by hydrothermal gasification of waste biomass: Thermo-economic process modelling and integration",8,3,"energy, various, waste",1
"The optimization of the paddy field irrigation scheduling using mathematical programming",2,1,"water",1
"Analysis of the performances of biogas-fuelled micro gas turbine cogeneration systems (MGT-CGSs) in middle- and small-scale sewage treatment plants: Comparison of performances and optimization of MGTs with various electrical power outputs",8,3,"energy, various, waste",1
"Optimal water system topology through genetic algorithm under multiple contaminated-water sources constraint",1,1,"water",1
"Life cycle assessment and its application to process selection, design and optimisation",2,0,"",1
"Optimization of fermentative biohydrogen production by response surface methodology using fresh leachate as nutrient supplement",3,2,"energy, waste",1
"A global optimal formulation for the water integration in eco-industrial parks considering multiple pollutants",2,2,"waste, water",1
"Thermodynamic optimization of several (heat recovery steam generator) HRSG configurations for a range of exhaust gas temperatures",5,2,"energy, various",1
"Optimization and characterization of bio-oil produced by microwave assisted pyrolysis of oil palm shell waste biomass with microwave absorber",5,3,"energy, various, waste",1
"Cooling capacity optimization of a waste heat absorption refrigeration cycle",5,2,"energy, waste",1
"Optimisation of wind turbine inspection intervals",2,1,"energy",1
"A zinc oxide-coated nanoporous carbon adsorbent for lead removal from water: Optimization, equilibrium modeling, and kinetics studies",6,3,"other, waste, water",1
"Dynamic simulation and exergo-economic optimization of a hybrid solar-geothermal cogeneration plant",5,1,"energy",1
"Nanofiltration of oily wastewater containing salt; experimental studies and optimization using response surface methodology",2,1,"waste",1
"Applying different optimization approaches to achieve optimal configuration of a dual pressure heat recovery steam generator",4,2,"energy, various",1
"Thermodynamic modelling and optimization of a dual pressure reheat combined power cycle",3,1,"energy",1
"Optimization of waste collection and disposal in Kampala city",2,1,"waste",1
"Optimal design of binary cycle power plants for water-dominated, medium-temperature geothermal fields",4,2,"energy, water",1
"Optimal sequencing of water supply options at the regional scale incorporating alternative water supply sources and multiple objectives",1,1,"water",1
"Fuzzy chance-constrained linear fractional programming approach for optimal water allocation",1,1,"water",1
"Optimization of marine waste based-growth media for microbial lipase production using mixture design methodology",3,1,"waste",1
"Photocatalytic discoloration of Methyl Orange by anatase/schorl composite: Optimization using response surface method",1,0,"",1
"Inter-plant water conservation by process optimization: Case study for a Chinese alumina industry",2,1,"water",1
"Modeling and optimization of cross-flow ultrafiltration using hybrid neural network-genetic algorithm approach",3,0,"",1
"Optimization of switchgrass and extruder parameters for enzymatic hydrolysis using response surface methodology",3,2,"energy, other",1
"A case study of fuel savings through optimisation of MSW transportation routes",3,2,"energy, waste",1
"Optimization of denitrification biofilter process using response surface methodology",1,0,"",1
"Application of particle swarm optimization to interpret Rayleigh wave dispersion curves",1,0,"",1
"A model for optimization of the productivity and bioremediation efficiency of marine integrated multitrophic aquaculture",2,1,"other",1
"Optimization of wastewater treatment alternative selection by hierarchy grey relational analysis",3,2,"various, waste",1
"Blade profile optimization of pump as turbine",1,0,"",1
"Modeling and optimization of fermentative hydrogen production",3,1,"energy",1
"Intelligent computer simulation and optimization of the methanol-water distillation system and application of BH high efficiency gasket-packing in the technical reformation",4,2,"energy, water",1
"Optimal simultaneous production of i-butene and ethanol from switchgrass",2,2,"energy, other",1
"Inverse problem method applied to flow field optimization of proton exchange membrane fuel cells",2,1,"energy",1
"Study on the development of an optimal heat supply control algorithm for group energy apartment buildings according to the variation of outdoor air temperature",2,1,"energy",1
"Optimisation of corn straw biochar treatment with catalytic pyrolysis in intensive agricultural area",6,3,"other, various, waste",1
"Multi-objective optimization of two alkali catalyzed processes for biodiesel from waste cooking oil",4,2,"energy, waste",1
"Modeling and optimization of a periodic process of adsorption and catalytic regeneration",2,0,"",1
"Design and optimisation of power plant utility systems",3,1,"energy",1
"Energy and exergy analysis as tools for optimization of hydrogen production by glycerol autothermal reforming",4,1,"energy",1
"ECO-optimization of pre-treatment processes in metal finishing",3,2,"other, various",1
"The optimal dissolved oxygen profile in a nitrifying activated sludge process - Comparisons with ammonium feedback control",1,1,"waste",1
"Optimization of power allocation for a hybrid wind-hydro power system",4,1,"energy",1
"Binary ORC (Organic Rankine Cycles) power plants for the exploitation of medium-low temperature geothermal sources - Part B: Techno-economic optimization",4,2,"energy, various",1
"Optimization of process parameters in electrocoagulation treating chicken industry wastewater to recover hydrogen gas with pollutant reduction",5,2,"energy, waste",1
"An integrated optimization for organic Rankine cycle based on entransy theory and thermodynamics",2,1,"various",1
"A decision support framework for evaluation of environmentally and economically optimal retrofit of non-domestic buildings",0,0,"",1
"Optimal electricity system planning in a large hydro jurisdiction: Will British Columbia soon become a major importer of electricity?",2,1,"energy",1
"Modelling and optimisation of dual fluidisation bed gasifiers for production of chemicals",2,0,"",1
"Many-objective groundwater monitoring network design using bias-aware ensemble Kalman filtering, evolutionary optimization, and visual analytics",4,1,"water",1
"Straw-to-soil or straw-to-energy? An optimal trade off in a long term sustainability perspective",1,1,"energy",1
"Optimal electrical load for peak power of a thermoelectric module with a solar electric application",3,1,"energy",1
"Statistical analysis and optimization of ammonia removal from landfill leachate by sequential microwave/aeration process using factorial design and response surface methodology",4,1,"waste",1
"Optimization of an Automotive Radiator Fan Array Operation to Reduce Power Consumption",2,1,"energy",1
"P-graph approach to optimal operational adjustment in polygeneration plants under conditions of process inoperability",0,0,"",1
"Utilization of substitutable substrates in a bioreactor under cycling: A study on process dynamics and optimization",1,0,"",1
"Oxidative degradation of Lurgi coal gasification wastewater: Optimization using response surface methodology",4,3,"energy, various, waste",1
"Application of electrochemical reactor divided by cellulosic membrane for optimized simultaneous removal of phenols, chromium, and ammonia from tannery effluents",2,2,"other, waste",1
"Management optimisation and technologies application: A right approach to balance energy saving needs and process goals",2,1,"energy",1
"Design and optimization of a proton exchange membrane fuel cell CHP system for residential use",4,1,"energy",1
"Electrocoagulation of commercial naphthalene sulfonates: Process optimization and assessment of implementation potential",1,0,"",1
"Neuro-evolutionary optimization methodology applied to the synthesis process of ash based adsorbents",2,1,"waste",1
"Optimal design of district heating and cooling pipe network of seawater-source heat pump",6,2,"energy, water",1
"Optimal sizing of a solar-biogas-based cooking system for a cluster of villages",2,1,"energy",1
"Optimization of Orange G dye adsorption by activated carbon of Thespesia populnea pods using response surface methodology",2,1,"waste",1
"Optimization of two-step catalyzed biodiesel production from soybean waste cooking oil",5,3,"energy, other, waste",1
"Optimal multi-period operational planning for steam power system in petrochemical enterprise with consideration of environmental costs in China",2,1,"energy",1
"Identifying optimal water resources allocation strategies through an interactive multi-stage stochastic fuzzy programming approach",1,1,"water",1
"Synthesis of near-optimal topologically constrained property-based water network using swarm intelligence",2,1,"water",1
"Simulation and optimization of a membrane system for chromium recovery from tanning wastes",5,3,"other, various, waste",1
"Structure optimization of CycloBio fluidized sand biofilters based on numerical simulation",2,0,"",1
"Optimization of nitrogen elimination at the wastewater treatment plant Kitzingen (Bavaria) | Optimierung der Stickstoff-eliminierung der kläranlage Kitzingen (Bayern)",3,2,"various, waste",1
"Optimization of the fenton oxidation of wastewater generated by rape oil soapstock splitting",3,2,"energy, waste",1
"Optimisation of a microwave pretreatment of wheat straw for methane production",3,2,"other, various",1
"Design of biomass and natural gas based IGFC using multi-objective optimization",4,2,"energy, various",1
"Probabilistic optimization of a continuum mechanics model to predict differential stress-induced damage in claystone",1,0,"",1
"Multi-Criteria Analysis for Optimization of Sodium Chromate Production from Chromic Waste",2,1,"waste",1
"Statistical modeling and optimization of the cadmium biosorption process in an aqueous solution using Aspergillus niger",2,0,"",1
"Optimization of sewage sludge conditioning and pressure dewatering by statistical modelling",4,1,"waste",1
"Supply Chains and Optimization for Biorefineries",2,1,"energy",1
"Anaerobic digester systems (ADS) for multiple dairy farms: A GIS analysis for optimal site selection",1,1,"other",1
"Optimized treatment of phenol-containing fire fighting wastewater using Fenton oxidation",2,2,"various, waste",1
"Response surface optimization and artificial neural network modeling of microwave assisted natural dye extraction from pomegranate rind",3,0,"",1
"Cost versus network length criteria in water network optimal design",3,1,"water",1
"The identification of optimal Co2 emissions-trading strategies based on an inexact two-stage chance-constrained programming approach",2,1,"waste",1
"Optimization of operational parameters for ethanol production from korean food waste leachate",5,3,"energy, other, waste",1
"An Artificial Neural Network and Genetic Algorithm Optimized Model for Biogas Production from Co-digestion of Seed Cake of Karanja and Cattle Dung",5,4,"energy, other, various, waste",1
"Optimization of an A<sup>2</sup>/O process for tetracycline removal via response surface methodology coupled with a Box-Behnken design",2,0,"",1
"Optimal design of integrated CHP systems for housing complexes",2,1,"energy",1
"Investigation on biogas production process from chicken processing industry wastewater using statistical analysis: Modelling and optimization",4,2,"energy, waste",1
"Optimization of thermo-alkaline disintegration of sewage sludge for enhanced biogas yield",4,2,"energy, waste",1
"Identification of optimal strategies for improving eco-resilience to floods in ecologically vulnerable regions of a wetland",1,1,"water",1
"Exergetic optimization of the heat recovery steam generators by imposing the total heat transfer area",4,2,"energy, various",1
"Control of adsorption chillers by a gradient descent method for optimal cycle time allocation",0,0,"",1
"Thermal optimization of solar biomass hybrid cogeneration plants",5,2,"energy, various",1
"Selection and optimization of pure and mixed working fluids for low grade heat utilization using organic rankine cycles",3,2,"energy, various",1
"Design and performance characteristics of solar adsorption refrigeration system using parabolic trough collector: Experimental and statistical optimization technique",4,1,"energy",1
"Optimization of process parameters for removal of arsenic using activated carbon-based iron-containing adsorbents by response surface methodology",3,2,"other, waste",1
"Cost optimal segregated targeting for resource allocation networks",1,0,"",1
"Esterification of oleic acid to biodiesel using magnetic ionic liquid: Multi-objective optimization and kinetic study",2,1,"energy",1
"Targeting for optimal grid-wide deployment of carbon capture and storage (CCS) technology",2,1,"waste",1
"Optimisation for the retrofit of large scale heat exchanger networks with different intensified heat transfer techniques",3,1,"energy",1
"Location optimization of wind plants in Iran by an integrated hierarchical Data Envelopment Analysis",2,1,"energy",1
"An interval-valued minimax-regret analysis approach for the identification of optimal greenhouse-gas abatement strategies under uncertainty",2,2,"energy, waste",1
"Instant flour from quality protein maize (Zea mays L). Optimization of extrusion process",2,1,"other",1
"Optimization of coagulation-flocculation process for treatment of industrial textile wastewater using okra (A. esculentus) mucilage as natural coagulant",3,2,"various, waste",1
"Operational optimization of crude oil distillation systems using artificial neural networks",4,1,"energy",1
"Optimal design of microalgae-based biorefinery: Economics, opportunities and challenges",2,1,"energy",1
"An optimization of redundant measurements location for thermal capacity of power unit steam boiler calculations using data reconciliation method",5,1,"energy",1
"Cycle efficiency optimization for ORC solar plants",2,1,"energy",1
"Synthesis of biodiesel from vegetable oils wastewater sludge by in-situ subcritical methanol transesterification: Process evaluation and optimization",7,3,"energy, other, waste",1
"Recent advances in optimization-based simultaneous process and control design",2,0,"",1
"Cost-effective approach to ethanol production and optimization by response surface methodology",2,1,"energy",1
"Optimisation of processing routes for a marine biorefinery",1,0,"",1
"Response surface optimization of a novel pilot dryer for processing mixed forest industry biosludge",1,0,"",1
"Energy and environmental performance optimization of a wooden window: A holistic approach",3,1,"energy",1
"Shale problems and water-based drilling fluid optimisation in the Hassi Messaoud Algerian oil field",4,2,"energy, water",1
"Optimization estimation of kinetic parameters for heterotrophic biomass based on batch respirometric method",2,1,"various",1
"Optimization of enzymatic hydrolysis of steam-exploded corn stover by two approaches: Response surface methodology or using cellulase from mixed cultures of Trichoderma reesei RUT-C30 and Aspergillus niger NL02",5,2,"energy, other",1
