"zone.number","zone.region","zone","resource","season","value.doc","units.doc","reference","assump.redist","value.redist","units.redist","notes.conv","value.conv","units.conv"
7,"production","quality","waste","wint",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
8,"production","dormitories","waste","wint",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
9,"residential","residential","waste","wint",0,"kg/year","NA","Takes an equal share from (0)",-91700,"kg/year","from kg/year to kg/s",-0.003,"kg/s"
10,"residential","hospital","waste","wint",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
11,"residential","school","waste","wint",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
12,"energyIsland","energyIsland","waste","wint",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
13,"NA","reserved","waste","wint",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
0,"NA","general","waste","sum",-275100,"kg/year","[5] Slide 28 (no disaggregation of the demand), records 8m3/day of solid waste and 360 tons/year of organic waste. See * for calculations of organic and non-organic proportions","Share (0) demand equally between the region-defining zones (1), (3), and (9)",0,"kg/year","from kg/year to kg/s","NA","kg/s"
1,"south","factory","waste","sum",0,"kg/year","NA","Takes an equal share from (0)",-91700,"kg/year","from kg/year to kg/s",-0.003,"kg/s"
2,"south","factory_assembly","waste","sum",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
3,"production","northDistrict","waste","sum",0,"kg/year","NA","Takes an equal share from (0)",-91700,"kg/year","from kg/year to kg/s",-0.003,"kg/s"
4,"production","multifunction","waste","sum",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
5,"production","factory_blades","waste","sum",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
6,"production","tech","waste","sum",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
7,"production","quality","waste","sum",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
8,"production","dormitories","waste","sum",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
9,"residential","residential","waste","sum",0,"kg/year","NA","Takes an equal share from (0)",-91700,"kg/year","from kg/year to kg/s",-0.003,"kg/s"
10,"residential","hospital","waste","sum",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
11,"residential","school","waste","sum",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
12,"energyIsland","energyIsland","waste","sum",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
13,"NA","reserved","waste","sum",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
0,"NA","general","waste","shoulder",-275100,"kg/year","[5] Slide 28 (no disaggregation of the demand), records 8m3/day of solid waste and 360 tons/year of organic waste. See * for calculations of organic and non-organic proportions","Share (0) demand equally between the region-defining zones (1), (3), and (9)",0,"kg/year","from kg/year to kg/s","NA","kg/s"
1,"south","factory","waste","shoulder",0,"kg/year","NA","Takes an equal share from (0)",-91700,"kg/year","from kg/year to kg/s",-0.003,"kg/s"
2,"south","factory_assembly","waste","shoulder",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
3,"production","northDistrict","waste","shoulder",0,"kg/year","NA","Takes an equal share from (0)",-91700,"kg/year","from kg/year to kg/s",-0.003,"kg/s"
4,"production","multifunction","waste","shoulder",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
5,"production","factory_blades","waste","shoulder",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
6,"production","tech","waste","shoulder",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
7,"production","quality","waste","shoulder",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
8,"production","dormitories","waste","shoulder",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
9,"residential","residential","waste","shoulder",0,"kg/year","NA","Takes an equal share from (0)",-91700,"kg/year","from kg/year to kg/s",-0.003,"kg/s"
10,"residential","hospital","waste","shoulder",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
11,"residential","school","waste","shoulder",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
12,"energyIsland","energyIsland","waste","shoulder",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
13,"NA","reserved","waste","shoulder",0,"kg/year","NA","NA",0,"kg/year","from kg/year to kg/s","NA","kg/s"
0,"NA","general","waste_organic","wint",-360,"tons/year","[5] Slide 28 (no disaggregation of the demand)","Share (0) demand equally between the region-defining zones (1), (3), and (9)",0,"tons/year","from tons/year to kg/s",0,"kg/s"
1,"south","factory","waste_organic","wint",0,"tons/year","NA","Takes an equal share from (0)",-120,"tons/year","from tons/year to kg/s",-0.004,"kg/s"
2,"south","factory_assembly","waste_organic","wint",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
3,"production","northDistrict","waste_organic","wint",0,"tons/year","NA","Takes an equal share from (0)",-120,"tons/year","from tons/year to kg/s",-0.004,"kg/s"
4,"production","multifunction","waste_organic","wint",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
5,"production","factory_blades","waste_organic","wint",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
6,"production","tech","waste_organic","wint",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
7,"production","quality","waste_organic","wint",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
8,"production","dormitories","waste_organic","wint",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
9,"residential","residential","waste_organic","wint",0,"tons/year","NA","Takes an equal share from (0)",-120,"tons/year","from tons/year to kg/s",-0.004,"kg/s"
10,"residential","hospital","waste_organic","wint",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
11,"residential","school","waste_organic","wint",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
12,"energyIsland","energyIsland","waste_organic","wint",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
13,"NA","reserved","waste_organic","wint",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
0,"NA","general","waste_organic","sum",-360,"tons/year","[5] Slide 28 (no disaggregation of the demand)","Share (0) demand equally between the region-defining zones (1), (3), and (9)",0,"tons/year","from tons/year to kg/s",0,"kg/s"
1,"south","factory","waste_organic","sum",0,"tons/year","NA","Takes an equal share from (0)",-120,"tons/year","from tons/year to kg/s",-0.004,"kg/s"
2,"south","factory_assembly","waste_organic","sum",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
3,"production","northDistrict","waste_organic","sum",0,"tons/year","NA","Takes an equal share from (0)",-120,"tons/year","from tons/year to kg/s",-0.004,"kg/s"
4,"production","multifunction","waste_organic","sum",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
5,"production","factory_blades","waste_organic","sum",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
6,"production","tech","waste_organic","sum",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
7,"production","quality","waste_organic","sum",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
8,"production","dormitories","waste_organic","sum",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
9,"residential","residential","waste_organic","sum",0,"tons/year","NA","Takes an equal share from (0)",-120,"tons/year","from tons/year to kg/s",-0.004,"kg/s"
10,"residential","hospital","waste_organic","sum",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
11,"residential","school","waste_organic","sum",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
12,"energyIsland","energyIsland","waste_organic","sum",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
13,"NA","reserved","waste_organic","sum",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
0,"NA","general","waste_organic","shoulder",-360,"tons/year","[5] Slide 28 (no disaggregation of the demand)","Share (0) demand equally between the region-defining zones (1), (3), and (9)",0,"tons/year","from tons/year to kg/s",0,"kg/s"
1,"south","factory","waste_organic","shoulder",0,"tons/year","NA","Takes an equal share from (0)",-120,"tons/year","from tons/year to kg/s",-0.004,"kg/s"
2,"south","factory_assembly","waste_organic","shoulder",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
3,"production","northDistrict","waste_organic","shoulder",0,"tons/year","NA","Takes an equal share from (0)",-120,"tons/year","from tons/year to kg/s",-0.004,"kg/s"
4,"production","multifunction","waste_organic","shoulder",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
5,"production","factory_blades","waste_organic","shoulder",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
6,"production","tech","waste_organic","shoulder",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
7,"production","quality","waste_organic","shoulder",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
8,"production","dormitories","waste_organic","shoulder",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
9,"residential","residential","waste_organic","shoulder",0,"tons/year","NA","Takes an equal share from (0)",-120,"tons/year","from tons/year to kg/s",-0.004,"kg/s"
10,"residential","hospital","waste_organic","shoulder",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
11,"residential","school","waste_organic","shoulder",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
12,"energyIsland","energyIsland","waste_organic","shoulder",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
13,"NA","reserved","waste_organic","shoulder",0,"tons/year","NA","NA",0,"tons/year","from tons/year to kg/s",0,"kg/s"
0,"NA","general","water_reclaimed","wint",600,"tons/day","[5] Slide 26 (no disaggregation of the demand)","Share (0) demand equally between the region-defining zones (1), (3), and (9)",0,"tons/day","from tons/day kg/s",0,"kg/s"
1,"south","factory","water_reclaimed","wint",0,"tons/day","NA","Takes an equal share from (0)",200,"tons/day","from tons/day kg/s",2.31,"kg/s"
2,"south","factory_assembly","water_reclaimed","wint",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
3,"production","northDistrict","water_reclaimed","wint",0,"tons/day","NA","Takes an equal share from (0)",200,"tons/day","from tons/day kg/s",2.31,"kg/s"
4,"production","multifunction","water_reclaimed","wint",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
5,"production","factory_blades","water_reclaimed","wint",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
6,"production","tech","water_reclaimed","wint",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
7,"production","quality","water_reclaimed","wint",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
8,"production","dormitories","water_reclaimed","wint",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
9,"residential","residential","water_reclaimed","wint",0,"tons/day","NA","Takes an equal share from (0)",200,"tons/day","from tons/day kg/s",2.31,"kg/s"
10,"residential","hospital","water_reclaimed","wint",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
11,"residential","school","water_reclaimed","wint",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
12,"energyIsland","energyIsland","water_reclaimed","wint",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
13,"NA","reserved","water_reclaimed","wint",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
0,"NA","general","water_reclaimed","sum",600,"tons/day","[5] Slide 26 (no disaggregation of the demand)","Share (0) demand equally between the region-defining zones (1), (3), and (9)",0,"tons/day","from tons/day kg/s",0,"kg/s"
1,"south","factory","water_reclaimed","sum",0,"tons/day","NA","Takes an equal share from (0)",200,"tons/day","from tons/day kg/s",2.31,"kg/s"
2,"south","factory_assembly","water_reclaimed","sum",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
3,"production","northDistrict","water_reclaimed","sum",0,"tons/day","NA","Takes an equal share from (0)",200,"tons/day","from tons/day kg/s",2.31,"kg/s"
4,"production","multifunction","water_reclaimed","sum",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
5,"production","factory_blades","water_reclaimed","sum",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
6,"production","tech","water_reclaimed","sum",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
7,"production","quality","water_reclaimed","sum",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
8,"production","dormitories","water_reclaimed","sum",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
9,"residential","residential","water_reclaimed","sum",0,"tons/day","NA","Takes an equal share from (0)",200,"tons/day","from tons/day kg/s",2.31,"kg/s"
10,"residential","hospital","water_reclaimed","sum",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
11,"residential","school","water_reclaimed","sum",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
12,"energyIsland","energyIsland","water_reclaimed","sum",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
13,"NA","reserved","water_reclaimed","sum",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
0,"NA","general","water_reclaimed","shoulder",600,"tons/day","[5] Slide 26 (no disaggregation of the demand)","Share (0) demand equally between the region-defining zones (1), (3), and (9)",0,"tons/day","from tons/day kg/s",0,"kg/s"
1,"south","factory","water_reclaimed","shoulder",0,"tons/day","NA","Takes an equal share from (0)",200,"tons/day","from tons/day kg/s",2.31,"kg/s"
2,"south","factory_assembly","water_reclaimed","shoulder",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
3,"production","northDistrict","water_reclaimed","shoulder",0,"tons/day","NA","Takes an equal share from (0)",200,"tons/day","from tons/day kg/s",2.31,"kg/s"
4,"production","multifunction","water_reclaimed","shoulder",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
5,"production","factory_blades","water_reclaimed","shoulder",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
6,"production","tech","water_reclaimed","shoulder",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
7,"production","quality","water_reclaimed","shoulder",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
8,"production","dormitories","water_reclaimed","shoulder",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
9,"residential","residential","water_reclaimed","shoulder",0,"tons/day","NA","Takes an equal share from (0)",200,"tons/day","from tons/day kg/s",2.31,"kg/s"
10,"residential","hospital","water_reclaimed","shoulder",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
11,"residential","school","water_reclaimed","shoulder",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
12,"energyIsland","energyIsland","water_reclaimed","shoulder",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
13,"NA","reserved","water_reclaimed","shoulder",0,"tons/day","NA","NA",0,"tons/day","from tons/day kg/s",0,"kg/s"
