,"Title","status","notes","type","type.notes","techniques.broad","techniques","techniques.IO","techniques.other","techniques.notes","focus.broad.cat","focus.broad","focus","focus.multiple","focus.other","focus.notes","method","use","use.other","use.notes","text.label"
"55","A Social-Ecological-Infrastructural Systems Framework for Interdisciplinary Study of Sustainable City Systems: An Integrative Curriculum Across Seven Major Disciplines","keep","A study-framework (rather than a model)","CUT","conceptual","medium","relate various","no","NA","Identify relationships between natural system, engineered infrasturures, social actors; using LCA, footprint measures. Subsystems can be linked by theories, laws, and models.","methodology","methodology","methodology","NA","NA","Cross-scale, cross-infrastructure interactions","CUT","strategic planning","NA","Inform cross-scale and cross-infrastructure secotr startegies to mitigate problems",
"56","Significance of global oil depletion to urban residential development","keep","How oil depletion will constrain urban development, society will transform to “sustainable city forms”. Proposes to model “the role of oil in the urban ecology” (fig 3). Can be inferred from energy, materials etc.","conceptual","conceptual","medium","relate various","no","NA","identify relationships between oil-based dependent inputs, urban infrastructure, and oil-consumption related waste.","resource","single resource","oil","NA","NA","influence of oil depletion on transformation to sustainable city forms","conceptual","strategic planning","NA","Consider “which urban forms should by promoted in strategic spatial planning”",
"57","Multiscale Approach to Life Cycle Assessment: Evaluation of the Effect of an Increase in New York City's Rooftop Albedo on Human Health Susca, LCA: Rooftop Albedo and Human Health","keep","Relate rooftoop albedo to climate change and human health impacts. E.g. mortality related to deaths.","CUT","CUT – NOT URBAN METABOLISM MODEL","CUT","CUT – NOT URBAN METABOLISM MODEL","no","NA","CUT – NOT URBAN METABOLISM MODEL","CUT","CUT","CUT – NOT URBAN METABOLISM MODEL","NA","NA","CUT – NOT URBAN METABOLISM MODEL","CUT","CUT – NOT URBAN METABOLISM MODEL","NA","CUT – NOT URBAN METABOLISM MODEL",
"58","Is there a metabolism of an urban ecosystem? An ecological critique","keep","Theory/concept","CUT","conceptual framework","CUT","relate various","no","NA","Identifies multiple scales, flows/feedbakc, trade-offs (economic, social, environmental), different approaches to governance, etc.","methodology","methodology","methodology","NA","NA","view a city as analagous to an ecosystem (not just an organism)","CUT","system understanding/improvements","NA","explore complexity of interconnections",
"59","An approach for analyzing resources metabolism of industrial ecosystems","keep","Dynamic model relating settlement transformation to urban meatbolic efficiency.","CUT","RETURN – CAN'T FIND","CUT","RETURN – CAN'T FIND","no","NA","RETURN – CAN'T FIND","CUT","CUT","RETURN – CAN'T FIND","NA","NA","RETURN – CAN'T FIND","CUT","RETURN – CAN'T FIND","NA","RETURN – CAN'T FIND",
"60","Towards a conceptual framework for development of sustainable development indicators for an urban setup","maybe","Analysis (rather than model)?","CUT","CUT – CAN'T ACCESS, AND INDICATOR BASED (RATHER THAN A MODEL)","CUT","CUT – CAN'T ACCESS, AND INDICATOR BASED (RATHER THAN A MODEL)","no","NA","CUT – CAN'T ACCESS, AND INDICATOR BASED (RATHER THAN A MODEL)","CUT","CUT","CUT – CAN'T ACCESS, AND INDICATOR BASED (RATHER THAN A MODEL)","NA","NA","CUT – CAN'T ACCESS, AND INDICATOR BASED (RATHER THAN A MODEL)","CUT","CUT – CAN'T ACCESS, AND INDICATOR BASED (RATHER THAN A MODEL)","NA","CUT – CAN'T ACCESS, AND INDICATOR BASED (RATHER THAN A MODEL)",
"61","Utilising integrated urban water management to assess the viability of decentralised water solutions","maybe","Looks like it uses a model, but I can't access full paper. Will asses various decentralized interventions considering flow, nutrient, energy, emissions, etc.","conceptual","conceptual","medium","integrated","no","NA","identify relationships between decentralised water management options, land management, and metabolic flows","resource","single resource","water","NA","NA","decentralised water management impacts on water and other metabolic flows","conceptual","strategic planning","NA","Highlight principles to be considered in water planning",
"62","Sustainable urban materials management for air pollutants mitigation based on urban physical input-output model","keep","Physical I-O tables [capture transactions between sectors] to identify “key economic sectros for sustainable urban materials management...to mitigate air pollutants” (to apply mitigation strategies). ","mathematical","mathematical","medium","other","yes","cluster analysis","Combine physical I/O with cluster analysis ","other","environment","other","NA","pollutants","pollutants ","simulation","system understanding/improvements","NA","identify key sectors for mitigation CO2, SO2, and Nox, for policy implications",
"63","Water consumption in Barcelona and its regional environmental imprint: A long-term history (1717-2008)","keep","Historical trends, structurally decomposed, using IPAT model to identify driving forces behind long-term evolution of water consumption (popultion, income, water intensity of the economy). Possibly more analysis that ","mathematical","CUT","CUT","other","no","IPAT","IPAT to decompose historic trends in water consumption according to identify driving forces","resource","single resource","water","NA","NA","water consumption","simulation","system understanding/improvements","NA","learn political lessons drawn from environmental Kuznetz Curve, e.g. developing nations",
"64","Comparing urban solid waste recycling from the viewpoint of urban metabolism based on physical input-output model: A case of Suzhou in China","keep","Use I/O model to predict urban met of Suzhou, 2015, and “impacts of four categories of solid waste recycling” under scenario analysis.","mathematical","mathematical","medium","other","no","physical I/O","physical I/O","resource","single resource","waste","NA","NA","solid waste recycling impacts","simulation","scenario analysis","NA","Predictions based on scenario analysis",
"65","Computer modelling for sustainable urban design: Physical principles, methods and applications","keep","Book. RETURN","CUT","CUT – BOOK","CUT","CUT – BOOK","no","NA","CUT – BOOK","CUT","CUT","CUT – BOOK","NA","NA","CUT – BOOK","CUT","CUT – BOOK","NA","CUT – BOOK",
"66","Urban ecosystem services: Tree diversity and stability of tropospheric ozone removal","keep","Interesting. But no mention of metabolism.","CUT","CUT","CUT","CUT","no","NA","CUT","CUT","CUT","CUT","NA","NA","CUT","CUT","CUT","NA","CUT",
"67","Analysis of an urban energy metabolic system: Comparison of simple and complex model results","keep","Comparising ecological network models with different numbers of sectors.","CUT","mathematical","medium","ENA","no","NA","ENA","methodology","methodology","methodology","NA","NA","how number of comparments affects ENA","CUT","other","study methods","Appropriate number of sectors depends on the problem",
"68","Impact of urban planning alternatives on air quality: URBAIR model application","keep","Part of BRIDGE. Air quality according to different urban planning alternatives. E.g. “simulate the effect of buildings geometry on air pollutants dispersion...” Inputs: topography, roads etc.; traffic flux etc; meteorological. Outputs: “emission and concentration fields”","mathematical","mathematical","low","Bottom-up mathematical description","no","NA","mathematical representation of the effect of buildings geometry on the dispersion of pollution (arising from traffic etc.)","other","environment","air quality","NA","NA","air quality due to building geometry","simulation","scenario analysis","NA","compare urban planning alternatives",
"69","Four angle model for the urban metabolism integrated analysis","keep","Population variables correlated to flow variables (emergy or GDP). CONFUSING!!","mathematical","mathematical","high","regression","no","NA","statistical correlations between population variables and emergy-economic indicators","other","socioeconomic","other","NA","population","population, emergy, economy","statistical","strategic planning","NA","compare results across cities, and inform policy",
"70","Satelite observation of urban metabolism in China","keep","“nighttime lights have a linear relationships to population, gross domestic producs, total primary energy consumption, and fossil fuel CO2 emissoins.” So could be extended to energy and material flows.","mathematical","mathematical (proposed)","high","regression","no","NA","regression analysis could link nighttime lights to energy and material flows (as it relates emisisons, primary energy, etc.)","resource","multiple resources","multiple","energy, materials","NA","energy and materials","statistical","accounting","NA","accounting",
"71","Comparison of different urban development strategy options to the urban metabolism optimal path","maybe","Confusing. Relating variables and applying sensitivity analysis?","CUT","CUT – PAPER IS INCOMPREHENSIBLE","CUT","CUT – PAPER IS INCOMPREHENSIBLE","no","NA","CUT – PAPER IS INCOMPREHENSIBLE","CUT","CUT","CUT – PAPER IS INCOMPREHENSIBLE","NA","NA","CUT – PAPER IS INCOMPREHENSIBLE","CUT","CUT – PAPER IS INCOMPREHENSIBLE","NA","CUT – PAPER IS INCOMPREHENSIBLE",
"72","Trans-boundary carbon emission footprints for cities and an interdisciplinary framework for sustainable urban infrastructure systems","maybe","Can't access. Possibly relevant","CUT","CUT – CAN'T ACCESS (CONFERENCE PROCEEDING)","CUT","CUT – CAN'T ACCESS (CONFERENCE PROCEEDING)","no","NA","CUT – CAN'T ACCESS (CONFERENCE PROCEEDING)","CUT","CUT","CUT – CAN'T ACCESS (CONFERENCE PROCEEDING)","NA","NA","CUT – CAN'T ACCESS (CONFERENCE PROCEEDING)","CUT","CUT – CAN'T ACCESS (CONFERENCE PROCEEDING)","NA","CUT – CAN'T ACCESS (CONFERENCE PROCEEDING)",
"73","Quantifying water-energy links and related carbon emissions in cities","maybe","Conceptual model. Can't access whole article.","conceptual","conceptual","medium","other","no","relate resources","identify urban water-energy links","resource","single resource","water","NA","NA","Water-related energy use and emisisons","conceptual","system understanding/improvements","NA","Demonstrate that water-related energy is overlooked",
"74","Data acquisition for applying physical input-output tables in Chinese cities: The case of Suzhou","keep","Related to I/O models","CUT","CUT – DATA AQUASITION (TO CONSTRUCT PHYSICAL I/O TABLES)","CUT","CUT – DATA AQUASITION (TO CONSTRUCT PHYSICAL I/O TABLES)","no","NA","CUT – DATA AQUASITION (TO CONSTRUCT PHYSICAL I/O TABLES)","CUT","CUT","CUT – DATA AQUASITION (TO CONSTRUCT PHYSICAL I/O TABLES)","NA","NA","CUT – DATA AQUASITION (TO CONSTRUCT PHYSICAL I/O TABLES)","CUT","CUT – DATA AQUASITION (TO CONSTRUCT PHYSICAL I/O TABLES)","NA","CUT – DATA AQUASITION (TO CONSTRUCT PHYSICAL I/O TABLES)",
"75","Global to city scale urban anthropogenic heat flux: Model and variability","keep","Relates anthropogenic heat flux to working patterns, public holidays, vehicle use, and energy consumption (by country). Modeled for a gird, by “partitioning of the sources” according to activity. Data inputted into a key equation. Can be applied globally, enabling comparisons, which consider (e.g.) public holidays according to country. Can be scaled from global to city level.","mathematical","mathematical","low","other","no","upscaling bottom-up statistics","databases to containing bottom-up statistics (working patterns, public holidays, vehicle use, and energy consumption), which can be combined with mathematical relationships to compute anthropogenic heat at any scale, based on ","resource","multiple resources","multiple","Anthropogenic heat","NA","Anthropogenic heat","simulation","accounting","NA","comparisons (e.g. across latitudes)",
"76","Regional societal and ecosystem metabolism analysis in China: A multi-scale integrated analysis of societal metabolism(MSIASM) approach","keep","Analysis and indicators. And “a complete decomposition model to futher identify key factors for regional sustainable development.” (To inform development strategies.) “According to this model, the value of EMR is influenced by two factors, namely, resource and technology aggregation, and sector structure...”","mathematical","mathematical","high","other","no","decomposition analysis","decompose to find factors driving sustainable (environmental, economic, social) development ","resource","single resource","energy","NA","NA","Energy flows in societal metabolism (not urban metabolism so much)","simulation","strategic planning","NA","inform development strategies",
"77","Understanding the anthropogenic phosphorus pathway with substance flow analysis at the city level","keep","“quantifying the pathway of phosphorus throuhgout the soecioeconomic system”. Model a city as “five majour subsystems” (e.g. human consumption, waste management). Quantify “total input and output of phosphorus in Chaohu City over 2008...”, estimate discharge into “local surface water” etc.","mathematical","mathematical","low","mass and/or energy balance","no","NA","substance flow analysis to quantify P flows amongst five subsystems (e.g. agriculture), using mathematical representation","resource","single resource","nutrients","phosphorus","NA","calculate total inputs and outputs for phosphorus in a city (including discharge to surface water etc.)","simulation","strategic planning","NA","Inform mitigation strategies",
"78","Ecological network analysis of an urban energy metabolic system","keep","ENA proposed for cities. 17 sectors.","mathematical","Mathematical","medium","ENA","no","NA","ENA","resource","single resource","energy","NA","NA","energy flows","simulation","system understanding/improvements","NA","Quantify synergism, to identify which sectoral pairs can improve.",
"79","Environmental fate of pyrethroids in urban and suburban stream sediments and the appropriateness of Hyalella azteca model in determining ecological risk","keep","cut","CUT","CUT","CUT","CUT","no","NA","CUT","CUT","CUT","CUT","NA","NA","CUT","CUT","CUT","NA","CUT",
"80","Urban metabolism in China achieving dematerialization and decarbonization in Suzhou","keep","driving force—pressure—state—response (DSPR) model to propose “a framework for sustainable urban management and policy assessment”. E.g. % changes in water consumption and waste generation after policies. f(socioeconomic development, environmental limits), allocate materials between sectors (“dividing the urban economic system into serveral categories of sectors...” Requires MFA for data.","mathematical","mathematical","high","ratios","no","NA","Calculations based on MFA amongst urban economic sectors, assuming linear development over time","resource","multiple resources","multiple","energy, water, waste","NA","resource consumption (including water) and waste emissions","simulation","scenario analysis","NA","scenario analysis (for policy assessment)","Liang & Zhang (2011)"
"81","Managing urban energy system: A case of Suzhou in China","keep","energy input-output model + carbon emission pinch analysis. Predict and optimize key sectors under emissions constraints. Energy metabolism scenarios = f(final demands, total energy outouts, generalized row model, technology development)","mathematical","mathematical","medium","other","yes","pinch analysis","Energy I/O combined with emissions pinch analysis","resource","single resource","energy","NA","NA","urban energy system","simulation","scenario analysis","NA","predictions and optimisation of sectors under emissions constraints",
"82","Relationship between construction characteristics and carbon emissions from urban household operational energy usage","keep","Relationship between residential emissions and home operations/building characteristics. General linear model univeriate regressions (e.g. to inform designs, e.g. energay-saving materials for biulding walls)","mathematical","mathematical","low","regression","no","NA","Linear regression (univariate) ","other","environment","emissions","NA","NA","Relate residential emissions with home operations and building characteristics","statistical","strategic planning","NA","inform design (e.g.)","Ye et al. (2011)"
"83","Process, Resource, People and Change (PRPC) approach to city infrastructure sustainability in context of climate change","maybe","Can't access, but could be relevant","CUT","CUT – CAN'T ACCESS, AND IT'S MORE BROADLY ABOUT APPROACHES TO SUSTAINABILITY","CUT","CUT – CAN'T ACCESS, AND IT'S MORE BROADLY ABOUT APPROACHES TO SUSTAINABILITY","no","NA","CUT – CAN'T ACCESS, AND IT'S MORE BROADLY ABOUT APPROACHES TO SUSTAINABILITY","CUT","CUT","CUT – CAN'T ACCESS, AND IT'S MORE BROADLY ABOUT APPROACHES TO SUSTAINABILITY","NA","NA","CUT – CAN'T ACCESS, AND IT'S MORE BROADLY ABOUT APPROACHES TO SUSTAINABILITY","CUT","CUT – CAN'T ACCESS, AND IT'S MORE BROADLY ABOUT APPROACHES TO SUSTAINABILITY","NA","CUT – CAN'T ACCESS, AND IT'S MORE BROADLY ABOUT APPROACHES TO SUSTAINABILITY",
"84","Extended exergy-based urban ecosystem network analysis: A case study of Beijing, China","keep","Exergy-based ENA for “evaluation, policy-making and regulations for ecosystem management concerning structure and efficiency at urban levels.”","mathematical","mathematical","medium","ENA","no","NA","ENA","resource","multiple resources","other","NA","exergy","exergy","simulation","strategic planning","NA","evaluation and inform policy",
"85","Information indices from ecological network analysis for urban metabolic system","keep","ENA-based indicators which reflect an area's sustainability","mathematical","mathematical","medium","ENA","no","NA","ENA","resource","integrated","multiple","emergy, exergy","NA","emergy and extended exergy","simulation","system understanding/improvements","NA","compute indicators which reflect area's sustainability",
"86","Network relationship analysis of urban energy metabolic system","keep","ENA to inform where changes should be made between sectors, e.g. more links to energy recovery sector.","mathematical","mathematical","medium","ENA","no","NA","ENA","resource","single resource","energy","NA","NA","energy","simulation","strategic planning","NA","identify intersectoral interventions to inform energy-saving policy",
"87","Ecological network analysis of an urban energy metabolic system: Model development, and a case study of four Chinese cities","keep","ENA “revealed ways to optimize its structure by adjusting the relationships among compartments...”","mathematical","mathematical","medium","ENA","no","NA","ENA","resource","single resource","energy","NA","NA","energy","simulation","system understanding/improvements","NA","adjusting intercompartmental relationships to optimise ","Zhang et al. (2010)"
"88","Discerning electricity consumption patterns from urban allometric scaling","keep","Scaling laws to quantify urban electricity consumption amongs five sectors (e.g. household, total etc.). Could be useful to develop predictive theories. Not on urban metabolism more generally.","mathematical","mathematical","medium","other","no","scaling laws","scaling laws, relating urban electricity consumption amongst five sectors (e.g. household)","resource","single resource","energy","electricity","NA","electricity","statistical","theory","NA","develop predictive theory",
"89","Eco-efficiency of urban material metabolism: A case study in Xiamen, China","maybe","Could be relevant – look up more about DEA modelling","mathematical","mathematical","medium","other","no","data envelopment analysis","DEA to identify efficiency of outputs-to-inputs within sectors","resource","multiple resources","materials","NA","NA","material metabolism","simulation","strategic planning","NA","inform policies which improve eco-efficiency",
"90","Eco-effectiveness, eco-efficiency, and the metabolism of a city: A multi-sectoral analysis","keep","Flow diagrams for each sector, representing flows and resources of interest, to enable substance flow analysis for each sector.] for H20, N, C and P, from which mathematical equations define indicators. Can identify main flows of N (e.g.) (animal feed and fossil fuels), from case study. Can then inform sustainability reporting, research priorities and technology options.","mathematical","mathematical","low","mass and/or energy balance","no","NA","SFA with mass and energy balances, representing sectoral flows with equations (from which indicators can be calculated)","resource","multiple resources","multiple","substances","NA","N2O, N, C, P","simulation","other","research priorities","analyse potential technological innovations",
"91","Synthesis and spatial dynamics of socio-economic metabolism and land use change of Taipei Metropolitan Region","keep","“simulate the spatial-temporal dynamics of socio-economic metabolism and land use change, this study adopts a spatial system modeling method...” (for the Taipei region). Identifies dependencies on nonrenewable energy inputs, centred on Taipie's Main station. ArcGIS software. Energy system components (e.g. source, storage) given mathematics meanings which can be “transferred into system equations”. Spatial system modelling with GIS with data and maps. Model can be validated. To identify “interaction mechanisms between socio-economic metabolism and land use change...”. Explanatory model. Asset stock reaches upper limit, so some outflow to surrounding areas, triggering land use change, resulting in more waste emissions and attracting more nonrenewables. Such convergence and divergence continues until stabilisation, where an “urban heirarchical pattern” emerges.","mathematical","mathematical","low","mathematical representation of subsystems","no","NA","equations represent spatially-defined system components","resource","integrated","emergy","nonrenewables","NA","socioeconomic and land-use depdendencies on nonrenewable inputs","simulation","system understanding/improvements","NA","understand long-term spatial dynamics",
"92","Ecological network and emergy analysis of urban metabolic systems: Model development, and a case study of four Chinese cities","keep","Emergy-based ENA. Analyse structure of metabolic system to suggest how to optimize it.","mathematical","mathematical","medium","ENA","no","NA","ENA","resource","integrated","emergy","NA","NA","emergy","simulation","system understanding/improvements","NA","inform interventions to optimise urban metabolism",
"93","An analysis of urban eco-industrial system and its metabolism","maybe","Can't access, but could be relevant","CUT","CUT – CAN'T ACCESS","CUT","CUT – CAN'T ACCESS","no","NA","CUT – CAN'T ACCESS","CUT","CUT","CUT – CAN'T ACCESS","NA","NA","CUT – CAN'T ACCESS","CUT","CUT – CAN'T ACCESS","NA","CUT – CAN'T ACCESS",
"94","Plants in urban ecosystems: Essential role of urban forests in urban metabolism and succession toward sustainability","keep","Overview of computer models predice effect of urban trees on metaoblism (runoff, water pollution, heat island, CO2 mitigation etc.) Various methods, e.g. imaging,","mathematical","mathematical (various)","high","various","no","NA","various methods and data sources","other","form","other","NA","trees","effect of urban trees on metabolism","simulation","forecasting","NA","predict runoff, water pollution, emissions, heat island etc.",
"95","Biophysical and system approaches for simulating land-use change","keep","Simulate land-use change using GIS to model a spatial system (socioeconomic metabolism), based on biophysical flows. How sotcks and flows affect land-use, using a land-use map. (Similar to earlier article.)","mathematical","mathematical","medium","relate various","no","NA","Mathematical representation of how biophysical stocks and flows represent land-use","other","form","Land-use","NA","NA","Land-use change","simulation","scenario analysis","NA","explore “spatial patterns of resource flows, asset accumulation, waste emissions, and land-use change...”",
"96","Conceptualizing the built environment as a social-ecological system","keep","To understand managerial policy impacts, for long-term social-ecological systems. Only conceptual. Requires a combination of approahces (LCA, flows at different scales, aggragtation, etc.)","conceptual","conceptual","medium","relate various","no","NA","identifies role of LCA, multi-scale flow analysis, aggregation to integrate spatial and physical relationships","resource","multiple resources","materials","NA","NA","material metabolism","conceptual","strategic planning","NA","understand managerial policy",
"97","Generating sustainable towns from Chinese villages: A system modeling approach","keep","Study a village to get “system dyamics models of a village's metabolism”, modified to replace unsustainable means with sustainabile means, which can then be enlarged through tiral iterationsk to see consequences of various processes. Incrementally enlarged and made more complext until “a modern, sustainable town or city” emerges. The system dynamics model istelsf: “current material, economic and energetic metabolism...embedded within a working systems model”, using relationships to relate households to villages as f(sotcks, flows, converters, connectors) (see Fig. 2). Run “what-if” scenarios.","mathematical","mathematical","low","mathematical representation of subsystems","no","NA","mathematical representation of system dynamics to model consequences of processes. Iteration to develop a village into a city.","other","form","urban growth","NA","NA","material, economic and energetic metabolism","simulation","strategic planning","NA","scenario analysis for developing villages into sustainable cities",
"98","Analyses of urban ecosystem based on information entropy","keep","Models urban ecosystem as producers, consumers and regenerators. Entropy-based indicators to measure the “evolution of the urban ecosystem”, based on the structure and mechanisms which govern the urban ecosystem. Can assess the “health, vigor and order in the urban ecosystem.” E.g. if all indicotrs are decreasing, then order is developing within the city.","mathematical","mathematical","medium","relate actors","no","NA","mathematical representation of producers, consumers and regenerators","other","form","other","NA","entropy","ecosystem indicators based on entropy","simulation","system understanding/improvements","NA","assess health and vigour of system",
"99","Measurement and evaluation of interactions in complex urban ecosystem","keep","“measure an evaluate the interactions among various variables in the complex urban ecosystem (CUE), through employing an equilibrium model, a metaboism model and a harmonious development model.” Then develop indicators and use factor analysis. Equilib model: represent social and economic development pressures and support capacity of ecological envionrment. UM model based on thermodynamics. Harmonious development model. “a quantative model for analyzing the interactions among factors and determining the degree of urban ecological development that can be used to describe the potential for sustainable development of six Chinese cities”. ","CUT","CUT","CUT","CUT","no","NA","CUT","CUT","CUT","CUT","NA","NA","CUT","CUT","CUT","NA","CUT",
"100","Theory of urban energetics and mechanisms of urban development","keep","develop theories of urban energetics, driving structure, economy and organisation.”a system model of urban econsystem is developed to investigate the relationships between eenrgy flows and urban development”. Based on energy diagram representation to conceptualise an urgban ecological system. Account emergy flows (e.g. renewables, nonrenewables, imports, exports, consumption, wastes, dollars). Calculate different indicators, by year (Table 2). Urban system model: structure, population, land etc. are stored, affected by energy flows, creating an 'energy circuit' (Odum). Simulations run,for evoluation of Taipei's urban ecololgical economic system. E.g. urgan assess accumpulate as money supply increases, levelling off according to carrying capacity limits. Can then use sensitivity analysis to “explore the effects of change of a specific flow rate on the system as a whole...”, e.g. developing land reduces biomass storage. Mature systems gain structure etc., which can be understood for energetic development.","mathematical","mathematical","medium","relate various","no","NA","mathematical computation of emergy flows (as Odum's energy circuit) using parameters to formulate models of flows and storages, relating them to poulation, urban assets, money supply,","resource","integrated","emergy","NA","NA","emergy","simulation","system understanding/improvements","NA","understand energetics of urban ecological economic system development","Huang & Chen (2005)"
"101","An integrated macroeconomic model for assessing urban sustainability","keep","“macrolevel approach for integrating regional economic model with urban metaoblism models...”, founded on an econometric model. Economic model integrated with emissions model (simulating emissions from different sectors). Can forecast emissions increases acording to scenarios. “The significane of urban metabolims models is their power to produce parameters for practitioners to gauge the current enviornmental impacts made by and urban region...they are scientfically valid (base don principles of the conservation of mass and energy), representatvie, responsive,...allows policymakers to draw comparative analyses between different cities and different urban regions. Nevertheless, current urban metab olism models quantify environmental impacts but do not model the activities that drive thoe impacts. They identify symptoms without diagnosing the root problems. Metabolism models are limited in prescribing meaningful policies that are aims at the root cases mainly becausae they do not quantify the economic activities that drive the metabolism.” So this paper integrates with economic drivers. “statistical relationnships that approximate the long-term urban macroeconomic cycle”. f(population, outputs, labour) – fig. 2. GHGs predicted from underlaying economic model (rather than specifically from all sources). Break down by sector (residential, commercial etc.) to get emissions data. Relate growth of these sectors to components in the economic model and land-use model (e.g. economic growth, financial sector growth etc.). “The utility of the approach has been demonstrated by linking an urban GHG
emission model to the economic model. GHG emissions are calculated for each of
five sectors by the level of activity and the intensity of emissions. Levels of activity are
simulated by the economic model; for example, population and employment determine
housing starts, which drive residential emissions.”","mathematical","mathematical","medium","relate various","no","NA","Integrate economic model which drives activities, resulting in GHG emissions (using macroeconomic statistical relationships)","other","environment","emissions","NA","NA","economic impacts on miessions. Simulation, with statistical elements","simulation","scenario analysis","NA","scenario analysis (e.g. emissions forecasts)","Fung & Kennedy (2005)"
"102","Modeling scenarios of transport across history from socio-metabolic perspective","maybe","Can only access abstract, but could be of interest. From emplirical relations in 19C Europe, calculate transport volumes for hunter and gatherer and agrarian societies to show transport vol necessarily rises faster than society size and material wealth, this limiting the size of urban populations. This is because of “the agrarian energy metabolism”: more land etc. required to power transportation → increase territory → travel distances. This 'explodes' under industrialised systems, with fossil fuels.","mathematical","mathematical","high","ratios","no","NA","historical data","other","form","other","NA","transport","relate society size/type to transport volumes","simulation","system understanding/improvements","NA","understand trends in transport volumes","Fischer-Kowalski et al. (2004)"
"103","Developing the urban metabolism approach into a new urban metabolic model","keep","“influence that institutional activities [planning and other decisions] have on urban sustainability” – important feedbacks. Relates conceptual modelling to urban governance. “New urban economic model (NUMM”), introduces institutions into Wolman's and Newman's models (fig 4). Tool to support the decision-making process.","conceptual","conceptual","medium","relate various","no","NA","identify relationships (e.g. feedbacks) between institutional activities (governance) and sustainability","other","socioeconomic","other","NA","governance","urban governance","conceptual","strategic planning","NA","support decision making",
"104","Energy requirements of Sydney households","keep","Models household energy requirements for 14 statistical subdivisions of Sydney from I-O and household expenditure data, using multivariate regression analysis and structural path analysis to interpret results. Finds correlations between energy use and income, housheold size, etc. SPA finds differences between inner and outer areas of Sydney. Informs energy reduction methods.","mathematical","mathematical","medium","regression","yes","NA","Regressions analysis on results of I/O combined with household expenditure","resource","single resource","energy","household","NA","energy use according to household characteristics","statistical","strategic planning","NA","inform energy reduction methods",
"105","Conceptual modelling of the interaction between transportation, land use and the environment as a tool for selecting sustainability indicators of urban mobility","maybe","Looks interesting. Can access.","conceptual","conceptual","medium","relate various","no","NA","High-level relating of resource consumption and pollutant/waste production, environmental state, human health/ecosystems, responses (feedback)","other","environment","environmental impacts","NA","NA","how society responds to environmental pressures exerted by urban activities","conceptual","theory","NA","theoretical model which can underlie urban sustainability indicators",
"106","Sustainability and cities: Extending the metabolism model","keep","Conceptual model, expanding on Wolman to consider 'livabilty' [health, employment etc.] (not just resource inputs and waste outputs). Assess the sustainability of cities, e.g. apply to industrial area to measure resource flows asd also ecnomic parameters and worker health and safety","conceptual","conceptual","medium","relate various","no","NA","Adds 'livability' to the resource/waste mechanistic view of UM","other","socioeconomic","other","NA","livability","livability","conceptual","theory","NA","Livability indicators, e.g. industrial area resource mechanisms combined with worker health and safety; urban innovations which reduce resource inputs and imrpove livability","Newmann (1999)"
"107","Environmental accounting on a communal level: A tool to support environmental management and decision-making by communal executives","keep","Maybe cut, as details on what's going on in terms of modelling aren't particularly clear. Spatial and temporal characterisation (relationships between systems). “we are
developing a new foundation basis for spatial planning by
characterising the material input and output of different areas
and uses in a community. Especially in the field of the
anthropogenic water household of cities and area, we try to
build up a specific model and an evaluation system. ”","conceptual","conceptual (where mathematical calculations are required)","high","LCA","no",,"inventory (energy, material, money, information, area quaity, envionrmental processes), to combine LCA and EF, using a database.","other","environment","environmental impacts","NA","NA","'process-oriented environmental planning'","conceptual","system understanding/improvements","NA","identify the communal activity which results in certain environmental impacts to inform planning options for urban environments",
"108","Urban metabolism and morphogenesis.","maybe","looks interesting, but can't access full article.","CUT","CUT – CAN'T ACCESS","CUT","CUT – CAN'T ACCESS","no",,"CUT – CAN'T ACCESS","CUT","CUT","CUT – CAN'T ACCESS","NA","NA","CUT – CAN'T ACCESS","CUT","CUT – CAN'T ACCESS","NA","CUT – CAN'T ACCESS",
