"titles","optimised system(s)","optimised system(s) – details","opt.systems.summary","other systems","integration","type","notes","methods","methods (details)","cat_matches","cat_matches_list","notes","level","level.notes","level_detail","scale","focus"
"Heat loss analysis and control optimization of furnace roller for roller hearth furnace",,,,,,,,,,,,"CUT",,,,,"other"
"New optimisation methodology to uncover robust low energy designs that accounts for occupant behaviour or other unknowns",,,,,,,,,,,,"CUT",,,,,"other"
"Electrochemical treatment of Baker's yeast wastewater containing melanoidin: Optimization through response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Heat transfer performance and structural optimization design method of vertical phase change thermal energy storage device",,,,,,,,,,,,"CUT",,,,,"other"
"Thermodynamic performance simulation and design optimisation of trilateral-cycle engines for waste heat recovery-to-power generation",,,,,,,,,,,,"CUT",,,,,"other"
"Linear programming approach for optimization of radionuclide loading in vitrified HLW",,,,,,,,,,,,"CUT",,,,,"other"
"Optimisation of water use in batch process industries","wastewater","process industry","single","products","integrated","system","process industry","optimisation","(nonlinear, unknown)",2,"various, water","Water network superstructure (sinks, sources, uses) within refinery plant","high","sink/source superstructure","network within chemical plant","refinery/chem. plant","water n/w integration"
"A benchmarking framework for simulation-based optimization of environmental models",,,,,,,,,,,,"CUT",,,,,"other"
"Optimizing Municipal Solid Waste collection using Chaotic Particle Swarm Optimization in GIS based environments: A case study at Danang city, Vietnam",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization the soda-AQ process for cellulose pulp production and energy content of black liquor from L. leucocephala K360",,,,,,,,,,,,"CUT",,,,,"other"
"Reduction of environmental pollution through optimization of energy use in cement industries",,,,,,"plant","CUT – field measurements",,,2,"energy, various","CUT",,,"cement factory","plant","other"
"Rules for Optimal Operation of Reservoir-River-Groundwater Systems Considering Water Quality Targets: Application of M5P Model",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal annual operation of the dry cooling system of a concentrated solar energy plant in the south of Spain",,,,,,,,,,,,"CUT",,,,,"other"
"Modeling and optimization of biogas production on saw dust and other co-substrates using Artificial Neural network and Genetic Algorithm","energy","biogas production","single",,"none","plant","Parameter optimisation (e.g. concentration of waste sources) to maximise yield","optimisation","neural network, GA",2,"energy, waste","optimal parameters for maximum biogas production recipe","medium","sink/source ingredient mix with some operating conditions (e.g. lag time)","plant (based on pilot runs)","plant","other"
"Multi-objective optimization of industrial waste management in chemical sites coupled with heat integration issues","energy, wastewater","process industry energy and wastewater","energy, wastewater","products","highly integrated","system","process industry: optimal timing and mixing of multiple waste streams, integrating heat, to minimise cost and environmental impact","optimisation","MILP",2,"energy, waste","optimal timing and mixing of multiple waste streams, integrating heat, to minimise cost","high","sink/source (black box)","chemical site","refinery/chem. plant","energy-* integration"
"Exergy analysis, parametric analysis and optimization for a novel combined power and ejector refrigeration cycle",,,,,,,,,,,,"CUT",,,,,"other"
"A new organic matter fractionation methodology for organic wastes: Bioaccessibility and complexity characterization for treatment optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Reviewing optimisation criteria for energy systems analyses of renewable energy integration",,,,,,,,,,,,"CUT",,,,,"other"
"Thermochemical analysis of biomass gasification by Gibbs free energy minimization model - Part: I (Optimization of Pressure and Temperature)",,,,,,,,,,,,"CUT",,,,,"other"
"Development of an optimization model for energy systems planning in the Region of Waterloo",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of metalworking fluid microemulsion surfactant concentrations for microfiltration recycling",,,,,,,,,,,"NA","CUT",,,,,"other"
"Development and optimization of a heat pump drying system driven by a diesel generator",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of environmental management strategies through a dynamic stochastic possibilistic multiobjective program",,,,,,,,,,,,"CUT",,,,,"other"
"Thermodynamic optimization of combined power and refrigeration cycle using binary organic working fluid",,,,,,,,,,,,"CUT",,,,,"other"
"Fluid selection and parametric optimization of organic Rankine cycle using low temperature waste heat",,,,,,,,,,,,"CUT",,,,,"other"
"Simultaneous site-wide energy, waste and production optimization - industrial case studies","petrochemical","process industry, but paper is unclear on defining terms (e.g. 'production' and 'utility')","petrochemical",,,"system","process industry, minimise energy, water and waste","optimisation","LP",4,"energy, various, waste, water","CUT",,,"petrochemical platn site","refinery/chem. plant","energy-* integration"
"Ranking solutions of multi-objective reservoir operation optimization models using multi-criteria decision analysis",,,,,,,,,,,,"CUT",,,,,"other"
"Exploration and assessment of optimal policy combination for total water pollution control with a dynamic simulation model",,,,,,,,,,,,"CUT",,,,,"other"
"Multi-objective optimization of steam power plants for sustainable generation of electricity",,,,,,,,,,,,"CUT",,,,,"other"
"Multiscale modelling of hydrothermal biomass pretreatment for chip size optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design and operation of a biogas fuelled MCFC (molten carbonate fuel cells) system integrated with an anaerobic digester","energy","biogas production","single",,"none","plant","Parameter optimisation for AD/micro-turbing hybrid plant","simulation","simulation",2,"energy, waste","Optimis parameters for electricity and heat production (via biogas), from AD","low","operating conditions","plant (several components)","plant (multiple components)","other"
"Optimization methods applied to the design of eco-industrial parks: A literature review",,,,,,"plant","Review of literature (methods) where EIP's engage in the exchange of energy/materials/water (similar to our paper). Conclusions could be interesting.",,,4,"energy, various, waste, water","CUT",,,"EIP","EIP","various"
"Optimization of partial nitritation in a continuous flow internal loop airlift reactor",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of nitrogen and phosphorus limitation for better biodegradable plastic production and organic removal using single fed-batch mixed cultures and renewable resources",,,,,,,,,,,,"CUT",,,,,"other"
"Multi-objective, multi-period optimization of district energy systems: IV - A case study",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of petroleum refinery effluent treatment in a UASB reactor using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of combined cooling, heating and power generation by a solar system",,,,,,,,,,,,"CUT",,,,,"other"
"Identification of optimal plans for municipal solid waste management in an environment of fuzziness and two-layer randomness",,,,,,,,,,,,"CUT",,,,,"other"
"Evaluating shortfalls in mixed-integer programming approaches for the optimal design and dispatch of distributed generation systems",,,,,,,,,,,,"CUT",,,,,"other"
"Stochastic optimization of sustainable industrial symbiosis based hybrid generation bioethanol supply chains","fuel production","generalised superstructure of possibilities for bioethanol production supply chain","single","Agriculture, biorefinery, energy, waste, transport","integrated","system","Considers GHGs, water, energy, input products etc. for pptimal supply chain: cultivation, colleciton, transportation, processing, demand, plant locations etc.","optimisation","Stochastic MILP",2,"energy, various","Optimal supply chain: cultivation, colleciton, transportation, processing, demand, plant locations etc.","high","sink/source superstructure","regional supply chain","region","biomass-* integration"
"Design, analysis and optimization of a micro-CHP system based on organic rankine cycle for ultralow grade thermal energy recovery",,,,,,,,,,,,"CUT",,,,,"other"
"Planning of methane emission control from hoggery using an inexact two-stage optimization model",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of inoculum to substrate ratio for bio-energy generation in co-digestion of tannery solid wastes","energy","energy","single",,"none","plant","Plant parameter optimisation from wastes","concrete statistical","CUT – experimental",2,"energy, waste","parameterr for maximum energy","low","operating conditions","plant","plant","other"
"Analysis of robust optimization for decentralized microgrid energy management under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"Parameter optimization of ferro-sonication pre-treatment process for degradation of bisphenol A and biodegradation from wastewater sludge using response surface model",,,,,,,,,,,,"CUT",,,,,"other"
"Study on optimal scheduling model of NSGA-II algorithm for system of hydro and thermal power plants","energy","chapter's terms are unclearly defined","energy",,,"system","optimal combination of hydro- and thermal- power generation. CUT – paper's aim is unclear","optimisation","GA",2,"energy, water","CUT",,,"coupled plants","plant (couple)","other"
"Removal of organic dyes by UV/H 2O 2 process: Modelling and optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of the industrial structure facing sustainable development in resource-based city subjected to water resources under uncertainty","water","urban","single",,"none","system","meeting demand given uncertainties (climate, sources etc.)","optimisation","ISFP",2,"various, water","do uncertain water resources meet local needs, for the economy","high","sink/source superstructure","city","city","water n/w integration"
"Parametric based thermo-environmental and exergoeconomic analyses of a combined cycle power plant with regression analysis and optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Energy status in Lebanon and electricity generation reform plan based on cost and pollution optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Multi-objective optimization of solid waste flows: Environmentally sustainable strategies for municipalities",,,,,,,,,,,,"CUT",,,,,"other"
"Flash cycle optimization of Sabalan geothermal power plant employing exergy concept",,,,,,,,,,,,"CUT",,,,,"other"
"Integration of kinetic modeling and desirability function approach for multi-objective optimization of UASB reactor treating poultry manure wastewater",,,,,,,,,,,,"CUT",,,,,"other"
"Locating monitoring wells in groundwater systems using embedded optimization and simulation models",,,,,,,,,,,,"CUT",,,,,"other"
"A coupled random fuzzy two-stage programming model for crop area optimization-A case study of the middle Heihe River basin, China",,,,,,,,,,,"NA","CUT",,,,,"other"
"Optimization of process parameters for kitchen waste composting by response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Design & optimization of two breeding thorium-uranium mixed SCWR fuel assemblies",,,,,,,,,,,"NA","CUT",,,,,"other"
"Optimization of the irrigation water resources for agricultural sustainability in Tarim River Basin, China",,,,,,,,,,,,"CUT",,,,,"other"
"Stochastic optimization of a multi-feedstock lignocellulosic-based bioethanol supply chain under multiple uncertainties","fuel production","bioethanol production supply chain","single","Agriculture, transport, biorefinery","integrated","system","supply chain, mutlipl feedstocks, under uncertainty (e.g. crop yield)","optimisation","Stochastic MILP",3,"energy, various, waste","Optimal supply chain: cultivation, colleciton, transportation, processing, demand, plant locations etc.","high","sink/source superstructure","regional supply chain","region","biomass-* integration"
"PLIO: A generic tool for real-time operational predictive optimal control of water networks",,,,,,,,,,,,"CUT",,,,,"other"
"Interval-fuzzy municipal-scale energy model for identification of optimal strategies for energy management - A case study of Tianjin, China",,,,,,,,,,,,"CUT",,,,,"other"
"Analysis and optimization of ammonia stripping using multi-fluid model",,,,,,,,,,,"NA","CUT",,,,,"other"
"Optimization of pumping rate and recharge through numerical modeling with special reference to small coral island aquifer",,,,,,,,,,,"NA","CUT",,,,,"other"
"Interval-fuzzy stochastic optimization for regional energy systems planning and greenhouse-gas emission management under uncertainty-a case study for the Province of Ontario, Canada",,,,,,,,,,,,"CUT",,,,,"other"
"Numerical optimization of heat recovery steam cycles: Mathematical model, two-stage algorithm and applications",,,,,,,,,,,,"CUT",,,,,"other"
"MILP model for emergy optimization in EIP water networks","wastewater","EIP (minimising freshwater consumption)","single","products","integrated","system","EIP ( superstructure representation), note emergy as an objective function, though water is still the focus","optimisation","MILP",2,"waste, water","Optimised, as measured by emergy","high","sink/source superstructure","EIP (water network)","EIP","waste(water)"
"Equilibrium strategy-based optimization method for the coal-water conflict: A perspective from China",,,,,,,,,,,,"CUT",,,,,"other"
"Model-based optimisation of Wastewater Treatment Plants design",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design of water networks by using genetic algorithm based on criterion of maximal water reuse",,,,,,,,,,,,"CUT",,,,,"other"
"An optimization study of microwave assisted extraction of oil from oily sludge using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design of process energy systems integrating sustainable considerations",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of activated carbon fiber preparation from Kenaf using K2HPO4 as chemical activator for adsorption of phenolic compounds",,,,,,,,,,,"NA","CUT",,,,,"other"
"Exergoeconomic analysis and optimization of basic, dual-pressure and dual-fluid ORCs and Kalina geothermal power plants: A comparative study",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization and comparison of Cd removal from aqueous solutions using activated and non-activated carbonaceous adsorbents prepared by pyrolysis of oily sludge",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of food waste hydrolysis in leach bed coupled with methanogenic reactor: Effect of pH and bulking agent","fuel production","methane production","single",,"none","plant","Waste, optimal parameters, from food waste","concrete statistical","CUT – experimental",2,"energy, waste","optimal parameters for methane production","low","operating conditions","plant","plant","other"
"Application of statistical design of experiments for optimization of As(V) biosorption by immobilized bacterial biomass",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of batch water network with multiple contaminants through continuous regeneration/recycle parallel operation","water, wastewater","process industry","water, wastewater","products","highly integrated","system","Water network superstructure (sinks, sources, uses) within refinery plant","optimisation","unknown mathematical programming method",2,"various, waste","Water network superstructure (sinks, sources, uses) within refinery plant","high","sink/source superstructure","refinery","refinery/chem. plant","water n/w integration"
"Enhancing anaerobic digestion of high-pressure extruded food waste by inoculum optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Minimization of water consumption and process optimization of palm oil mills","wastewater","palm oil production","single","products","integrated","system","palmoil production, minimise freshwater consumption through wastewater reuse","optimisation","unknown mathematical programming method",2,"various, waste","optimise wastewater reuse, to minimise freshwater consumption in palm oil production","high","sink/source superstructure","plant (multiple components)","plant (multiple components)","other"
"An inexact simulation-based stochastic optimization method for identifying effluent trading strategies of agricultural nonpoint sources",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of biogas production from poultry manure wastewater in 250 ML flasks","fuel production","biogas production","single",,"none","plant","Wastewater, optimal parameters for maximum biogas production from wastewater","concrete statistical","CUT – response surface methodology",2,"energy, waste","optimal parameters for maximum biogas production from wastewater","low","operating conditions","plant (lab test)","plant","other"
"A multi-objective superstructure optimization approach to biofeedstocks-to-biofuels systems design","fuel production","generalised superstructure of possibilities for biofuel production supply chain","single","energy, biorefinery","integrated","system","supply chain, mutliple feedstocks, to identify the best processes for the chain","optimisation","LP",2,"energy, various","compares different methods (transesterification, hydrolysis, gasification, pyrolysis) as part of a superstructure to maximise energy recovery from biofeedstock","high","sink/source superstructure","process (which is the most efficient for each specific crop)","plant","other"
"Imperata cylindrica (cogongrass) as an adsorbent for methylene blue dye removal: Process optimization",,,,,,,,,,,"NA","CUT",,,,,"other"
"Simultaneous optimization of multiple performance characteristics in coagulation-flocculation process for Indian paper industry wastewater",,,,,,,,,,,,"CUT",,,,,"other"
"Using self-adaptive optimisation methods to perform sequential optimisation for low-energy building design",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of arsenic removal from drinking water by electrocoagulation batch process using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design of an electrodialysis brackish water desalination plant",,,,,,,,,,,,"CUT",,,,,"other"
"Inexact two-stage stochastic robust optimization model for water resources management under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"Simultaneous synthesis of waste interception and material reuse networks: Problem reformulation for global optimization",,,,,,,,,,2,"waste, water","CUT",,,"wastewater network",,"other"
"Treatment of restaurant wastewater by pilot-scale electrocoagulation- electroflotation: Optimization of operating conditions",,,,,,,,,,,,"CUT",,,,,"other"
"Improving the performance of a WWTP control system by model-based setpoint optimisation",,,,,,,,,,,,"CUT",,,,,"other"
"NLP model based thermoeconomic optimization of vapor compression-absorption cascaded refrigeration system",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization simulation of aeration mode in a triple oxidation ditch wastewater treatment process",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of overall network of water-using and treatment units","wastewater","process industry (freshwater minimisation)","single","products","integrated","system","process industry","optimisation","GA",2,"various, waste","optimisation of water-using and treatment units network","low","operating conditions","chemical plant","refinery/chem. plant","water n/w integration"
"Optimization of pharmaceutical wastewater treatment bysolar/ferrioxalate photo-catalysis",,,,,,,,,,,,"CUT",,,,,"other"
"Part load based thermo-economic optimization of the Organic Rankine Cycle (ORC) applied to a combined heat and power (CHP) system",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of hydrogen production from organic fraction of municipal solid waste (OFMSW) dry anaerobic digestion with analysis of microbial community","fuel production","H production","single",,"none","plant","MSW, AD parameter optimisation","concrete statistical","CUT – experimental",2,"energy, waste","optimal parameters for hydrogen production from MSW","low","operating conditions","plant (lab test)","plant","other"
"Investigation of leachate treatment with electrocoagulation and optimization by response surface methodology","waste","leachate treatment quality","single",,"none","plant","parameter optimistaion (e.g. timings, pH)","concrete statistical","CUT – response surface methodology",1,"waste","optimal parameters for leachate treatment","low","operating conditions","plant (lab test)","plant","other"
"Optimization models for the control of saltwater intrusion",,,,,,,,,,,,"CUT",,,,,"other"
"An inexact optimization model for energy-environment systems management in the mixed fuzzy, dual-interval and stochastic environment",,,,,,,,,,,,"CUT",,,,,"other"
"Determining the optimum cyclic operation of adsorption chillers by a direct method for periodic optimal control",,,,,,,,,,,,"CUT",,,,,"other"
"DESPU: Dynamic optimization for energy systems planning under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"A robust optimization method for planning regional-scale electric power systems and managing carbon dioxide",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of conventional Fenton and ultraviolet-assisted oxidation processes for the treatment of reverse osmosis retentate from a paper mill",,,,,,,,,,,,"CUT",,,,,"other"
"An inexact optimization model for planning regional carbon capture, transportation and storage systems under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"Life cycle assessment (LCA) optimization of solar-assisted hybrid CCHP system",,,,,,,,,,,,"CUT",,,,,"other"
"Bi-objective optimization of a water network via benchmarking",,,,,,,,,,,,"CUT",,,,,"other"
"Multi-objective optimization of SNG production from microalgae through hydrothermal gasification","fuel production","synthatic natural gas production","single",,"none","plant","microalgae, parameter optimization of gasification plant","optimisation","MINLP",2,"energy, various","optimal pathway and design specifications (given multiple objectives) for SNG production","low","operating conditions","plant (multiple components)","plant (multiple components)","other"
"A two-step infinite Œ±-cuts fuzzy linear programming method in determination of optimal allocation strategies in agricultural irrigation systems",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of reverse osmosis networks for seawater desalination",,,,,,,,,,,,"CUT",,,,,"other"
"Identification of the cost-optimal degree of CO2 capture: An optimisation study using dynamic process models",,,,,,,,,,,,"CUT",,,,,"other"
"Design multiperiod optimization model for the electricity sector under uncertainty - A case study of the Emirate of Abu Dhabi",,,,,,,,,,,,"CUT",,,,,"other"
"Simulation and optimization modeling for the management of groundwater resources. I: Distinct applications",,,,,,,,,,,,"CUT",,,,,"other"
"Optimisation of water usage in a brewery clean-in-place system using reference nets","energy, water","brewery","energy, water","products","highly integrated","system","minimise freshwater and maximise energy production","simulation","CUT – simulation",3,"energy, various, waste","Clean-in-place wastewater to minimise energy and water required in brewing","low","operating conditions","plant (multiple components)","plant (multiple components)","other"
"Optimization and microbial community analysis of anaerobic co-digestion of food waste and sewage sludge based on microwave pretreatment",,,,,,,,,,,,"CUT",,,,,"other"
"An integrated optimization modeling approach for planning emission trading and clean-energy development under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal energy planning models with carbon footprint constraints",,,,,,,,,,,,"CUT",,,,,"other"
"An optimization model for regional micro-grid system management based on hybrid inexact stochastic-fuzzy chance-constrained programming",,,,,,,,,,,,"CUT",,,,,"other"
"Comparative study between the heuristic algorithm and the optimization technique for vehicle routing and scheduling in a solid waste collection system",,,,,,,,,,,,"CUT",,,,,"other"
"Reliability-oriented multi-objective optimal decision-making approach for uncertainty-based watershed load reduction",,,,,,,,,,,,"CUT",,,,,"other"
"Exergoeconomic analysis and optimization of a condenser for a binary mixture of vapors in organic Rankine cycle",,,,,,,,,,,,"CUT",,,,,"other"
"Response surface optimization of methane potentials in anaerobic co-digestion of multiple substrates: Dairy, chicken manure and wheat straw","fuel production","methane production","single",,"none","plant","waste, optimal paramters","concrete statistical","CUT – response surface methodology",2,"energy, waste","optimal parameters for biogas (i.e. methane) production from waste co-digestion","low","operating conditions","plant (lab)","plant","other"
"Subcritical water liquefaction of oil palm fruit press fiber in the presence of sodium hydroxide: An optimisation study using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"On the thermoeconomical optimization of heat pipe heat exchanger HPHE for waste heat recovery",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal planning for the sustainable utilization of municipal solid waste","waste","urban","single","transport, energy","integrated","system","allocation to various facilities","optimisation","MILP",3,"energy, various, waste","optimal process and location according to multiple objectives (inc. energy production and recycling)","high","sink/source superstructure","regional network/urban area","region","waste management"
"Numerical optimization of an organic rankine cycle scheme for co-generation",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of biogas from chicken droppings with Cymbopogon citratus",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal Water Quality Management Considering Spatial and Temporal Variations in a Tidal River",,,,,,,,,,,,"CUT",,,,,"other"
"Environmental optimization of continuous flow ozonation for urban wastewater reclamation","wastewater","wastewater treatment quality","single",,"none","plant","parameter optimisation (e.g. flowrates, ozone input etc.)","concrete","Experimental, LCA",2,"waste, water","optimal parameters for ozonation treatment of wastewater (to be reclaimed)","low","operating conditions","plant (lab test)","plant","other"
"Bioproduction, statistical optimization and characterization of microbial plastic (poly 3-hydroxy butyrate) employing various hydrolysates of water hyacinth (Eichhornia crassipes) as sole carbon source",,,,,,,,,,,,"CUT",,,,,"other"
"A study on establishing an optimal water network in a dyeing and finishing industrial park","water, wastewater","EIP (dyeing)","water, wastewater","products","highly integrated","system","Industrial park (superstructure)","optimisation","MILP",3,"various, waste, water","optimisation of water treatment facilities in park (for reuse within a plant, or exchange with another), for dying and finishing.","high","sink/source superstructure","industrial park network","EIP","water n/w integration"
"Optimization of the electrocoagulation process for the removal of lead from water using aluminium as electrode material",,,,,,,,,,,,"CUT",,,,,"other"
"A dynamic optimization procedure for non-catalytic nitric oxide reduction in waste incineration plants",,,,,,,,,,,,"CUT",,,,,"other"
"Removal of COD from industrial effluent containing indigo dye using adsorption method by activated carbon cloth: Optimization, kinetic, and isotherm studies",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of biodiesel production from animal fat residue in wastewater using response surface methodology","fuel production","biodiesel production","single",,"none","plant","waste (animal fat), parameter optimisation (e.g. catalyst quantity)","concrete statistical","CUT – response surface methodology",2,"energy, waste","optimal parameters for biodiesel from wastewater ","low","operating conditions","plant (lab test)","plant","other"
"Optimal design and operation of a UASB reactor for dairy cattle manure",,,,,,,,,,,,"CUT",,,,,"other"
"Removal of nitrate and COD from wastewater using Denitrification process: Kinetic, optimization, and statistical studies",,,,,,,,,,,,"CUT",,,,,"other"
"Energy consumption model and optimization for disk roller crusher",,,,,,,,,,,"NA","CUT",,,,,"other"
"ASI: Toward the optimal integrated production of biodiesel with internal recycling of methanol produced from glycerol","fuel production","methanol, biodiesel, superstructure","single","internal process synergies","integrated","system","methanol from glycerol, integrated with biodiesel from algae. Superstructure","optimisation","MINLP",2,"energy, various","biomass to liquid fuels, optimisation glycerol byproduct (useful for biodiesel)","medium","sink/source superstructure with some operation decisions","plant (multiple components)","plant (multiple components)","other"
"Optimal design of CHP-based microgrids: Multiobjective optimisation and life cycle assessment",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design of integrated agricultural water networks","water","agriculture","single","agriculture, fertilizer, wastewater","integrated","system","agricultural system, fertilizer, wastewater reuse, to minimise system cost","optimisation","MINLP",3,"various, waste, water","pipes, pumps, storage, reuse, regeneration, treatment etc. within agriculture","high","sink/source superstructure","agricultural area","agricultural area","other"
"Optimal strategies for carbon capture, utilization and storage based on an inexact mŒª-measure fuzzy chance-constrained programming",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of supercritical water oxidation for landfill leachate treatment by response surface methodology (RSM)",,,,,,,,,,,,"CUT",,,,,"other"
"Phosphate removal in a fluidized bed - II Process optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of a photo-assisted Fenton oxidation process: A statistical model for MDF effluent treatment",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal spatial decision of cropland bio-energy intensive application",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal integration of organic Rankine cycles with industrial processes",,,,,,,,,,,,"CUT",,,,,"other"
"On the nature of the heat transfer feasibility constraint in the optimal synthesis/design of complex energy systems",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization and modeling of reduction of wastewater sludge water content and turbidity removal using magnetic iron oxide nanoparticles (MION)",,,,,,,,,,,,"CUT",,,,,"other"
"Recent cleaner production advances in process monitoring and optimisation",,,,,,,,,,,"NA","CUT",,,,,"other"
"Optimisation of petroleum refinery water network systems retrofit incorporating reuse, regeneration and recycle strategies","water, wastewater","process industry","water, wastewater","products","highly integrated","system","process industry","optimisation","NLP",2,"various, waste","superstructure water network to minimise freshwater consumption and wastewater generation","high","sink/source superstructure","network within petroleum refinery","refinery/chem. plant","water n/w integration"
"Optimal planning of co-firing alternative fuels with coal in a power plant by grey nonlinear mixed integer programming model",,,,,,,,,,,,"CUT",,,,,"other"
"Maximising municipal solid waste - Legume trimming residue mixture degradation in composting by control parameters optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of integrated CCHP and solar plants following a multi-objective approach. An application to the household sector",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization on national energy consumption distribution under total amount control of pollutants",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of biodiesel production from the waste cooking oil using response surface methodology","fuel production","biodiesel production","single",,"none","plant","waste","concrete statistical","CUT – response surface methodology",2,"energy, waste","optimal parameters for biodiesel from wastewater ","low","operating conditions","plant (lab test)","plant","other"
"Optimization of the preparation process of biological sludge adsorbents for application in water treatment",,,,,,,,,,,,"CUT",,,,,"other"
"Exergy analysis and optimisation of a marine molten carbonate fuel cell system in simple and combined cycle configuration",,,,,,,,,,,,"CUT",,,,,"other"
"Hybrid inexact optimization approach with data envelopment analysis for environment management and planning in the city of Beijing, China","waste","urban","single","energy","integrated","system","facilitiy allocation for system capacity expansion","optimisation","Stochastic MIP",3,"energy, various, waste","optimal waste flow allocation and capacity expansion (including recycling, composting, and power generation)","high","sink/source superstructure, longterm investments","city/region (Beijing)","region","waste(water)"
"Fluid dynamic analysis of a continuous stirred tank reactor for technical optimization of wastewater digestion",,,,,,,,,,,,"CUT",,,,,"other"
"Strategic planning optimization for natural gas to liquid transportation fuel (GTL) systems",,,,,,,,,,,,"CUT",,,,,"other"
"Leaching zinc from spent catalyst: Process optimization using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of the electro-Fenton and solar photoelectro-Fenton treatments of sulfanilic acid solutions using a pre-pilot flow plant by response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Development of an inexact risk-aversion optimization model for regional carbon constrained electricity system planning under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"Selecting Portfolios of Water Supply and Demand Management Strategies Under Uncertainty-Contrasting Economic Optimisation and 'Robust Decision Making' Approaches",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of spent nuclear fuel filling in canisters for deep repository",,,,,,,,,,,,"CUT",,,,,"other"
"Development of an integrated optimization method for analyzing effect of energy conversion efficiency under uncertainty - A case study of Bayingolin Mongol Autonomous Prefecture, China",,,,,,,,,,,,"CUT",,,,,"other"
"Kinetic model and optimization of 2,4-D degradation by Anodic Fenton treatment",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of critical factors to enhance polyhydroxyalkanoates (PHA) synthesis by mixed culture using Taguchi design of experimental methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design activated sludge process by means of multi-objective optimization: Case study in Benchmark Simulation Model 1 (BSM1)",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of the HVAC system design to minimize primary energy demand",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design of thermal membrane distillation systems with heat integration with process plants","water","process industry","single","products, heat","integrated","system","combine distillation with processing industry (heat recovery)","optimisation","MINLP",2,"energy, water","optimal setup of desalination plant coupled to methanol plant (optimal parameters of each plant)","low","operating conditions","couple deslination and methanol plant","plant (couple)","other"
"Multi-objective optimisation for generating sustainable solutions considering total effects on the environment",,,,,,,,,,4,"energy, various, waste, water","CUT",,,"sustainability indicators (multi-objective approaches)","e.g. biogas production supply chain","other"
"Cost-based design of wastewater network optimal topology",,,,,,,,,,,,"CUT",,,,,"other"
"Model for geometry optimisation of thermoelectric devices in a hybrid PV/TE system",,,,,,,,,,,,"CUT",,,,,"other"
